gene_id	hap_id	donor	family	annotated_form	start0	end0	strand
HG02178_1__C4_1	HG02178#1	HG02178	HG02178	C4AL	3569661	3590284	+
HG02178_1__C4_2	HG02178#1	HG02178	HG02178	C4BS	3602397	3616648	+
HG02178_2__C4_1	HG02178#2	HG02178	HG02178	C4AL	3572396	3593043	+
HG02178_2__C4_2	HG02178#2	HG02178	HG02178	C4AS	3605157	3619414	+
HG02178_2__C4_3	HG02178#2	HG02178	HG02178	C4BL	3631528	3652152	+
HG02257_1__C4_1	HG02257#1	HG02257	HG02255	C4AL	3560860	3581485	+
HG02257_1__C4_2	HG02257#1	HG02257	HG02255	C4AL	3593599	3614224	+
HG02257_2__C4_1	HG02257#2	HG02257	HG02255	C4AL	3558409	3579034	+
HG02257_2__C4_2	HG02257#2	HG02257	HG02255	C4BS	3591147	3605403	+
HG02273_1__C4_1	HG02273#1	HG02273	HG02271	C4AL	3565157	3585781	+
HG02273_1__C4_2	HG02273#1	HG02273	HG02271	C4BL	3597895	3618519	+
HG02273_2__C4_1	HG02273#2	HG02273	HG02271	C4AL	3565676	3586300	+
HG02273_2__C4_2	HG02273#2	HG02273	HG02271	C4BL	3598414	3619038	+
HG02280_1__C4_1	HG02280#1	HG02280	HG02280	C4AL	3633664	3654289	+
HG02280_1__C4_2	HG02280#1	HG02280	HG02280	C4BS	3666404	3680660	+
HG02280_2__C4_1	HG02280#2	HG02280	HG02280	C4AL	3465040	3485665	+
HG02280_2__C4_2	HG02280#2	HG02280	HG02280	C4BS	3497778	3512034	+
HG02293_1__C4_1	HG02293#1	HG02293	HG02291	C4AL	3623899	3644523	+
HG02293_1__C4_2	HG02293#1	HG02293	HG02291	C4BL	3656637	3677261	+
HG02293_2__C4_1	HG02293#2	HG02293	HG02291	C4AL	3560353	3580978	+
HG02293_2__C4_2	HG02293#2	HG02293	HG02291	C4BS	3593091	3607347	+
HG02300_1__C4_1	HG02300#1	HG02300	HG02298	C4AL	3566406	3587030	+
HG02300_1__C4_2	HG02300#1	HG02300	HG02298	C4BL	3599144	3619768	+
HG02300_2__C4_1	HG02300#2	HG02300	HG02298	C4AL	3465093	3485718	+
HG02300_2__C4_2	HG02300#2	HG02300	HG02298	C4BS	3497831	3512087	+
HG02391_1__C4_1	HG02391#1	HG02391	HG02391	C4AL	3577455	3598080	+
HG02391_1__C4_2	HG02391#1	HG02391	HG02391	C4BS	3610193	3624449	+
HG02391_2__C4_1	HG02391#2	HG02391	HG02391	C4AL	3576181	3596805	+
HG02391_2__C4_2	HG02391#2	HG02391	HG02391	C4BL	3608919	3629543	+
HG02392_1__C4_1	HG02392#1	HG02392	HG02392	C4AL	3576628	3597253	+
HG02392_1__C4_2	HG02392#1	HG02392	HG02392	C4BS	3609367	3623623	+
HG02392_1__C4_3	HG02392#1	HG02392	HG02392	C4AL	3635737	3656362	+
HG02392_1__C4_4	HG02392#1	HG02392	HG02392	C4BS	3668573	3682829	+
HG02392_2__C4_1	HG02392#2	HG02392	HG02392	C4AL	3516129	3536749	+
HG02392_2__C4_2	HG02392#2	HG02392	HG02392	C4BS	3548862	3563113	+
HG02486_1__C4_1	HG02486#1	HG02486	HG02486	C4AL	3565835	3586460	+
HG02486_1__C4_2	HG02486#1	HG02486	HG02486	C4BS	3598575	3612831	+
HG02486_2__C4_1	HG02486#2	HG02486	HG02486	C4AL	3630568	3651192	+
HG02486_2__C4_2	HG02486#2	HG02486	HG02486	C4AS	3663306	3677562	+
HG02514_1__C4_1	HG02514#1	HG02514	HG02512	C4AL	3625206	3645831	+
HG02514_1__C4_2	HG02514#1	HG02514	HG02512	C4BS	3657946	3672202	+
HG02514_1__C4_3	HG02514#1	HG02514	HG02512	C4BS	3684317	3698573	+
HG02514_2__C4_1	HG02514#2	HG02514	HG02512	C4AL	3568707	3589332	+
HG02514_2__C4_2	HG02514#2	HG02514	HG02512	C4AL	3601445	3622070	+
HG02514_2__C4_3	HG02514#2	HG02514	HG02512	C4BS	3634183	3648439	+
HG02523_1__C4_1	HG02523#1	HG02523	HG02521	C4AL	3569758	3590383	+
HG02523_1__C4_2	HG02523#1	HG02523	HG02521	C4BS	3602496	3616752	+
HG02523_2__C4_1	HG02523#2	HG02523	HG02521	C4AL	3562362	3582985	+
HG02523_2__C4_2	HG02523#2	HG02523	HG02521	C4BS	3595098	3609353	+
HG02559_1__C4_1	HG02559#1	HG02559	HG02559	C4AL	3562178	3582802	+
HG02559_1__C4_2	HG02559#1	HG02559	HG02559	C4BL	3594916	3615540	+
HG02559_2__C4_1	HG02559#2	HG02559	HG02559	C4AL	3561157	3581781	+
HG02559_2__C4_2	HG02559#2	HG02559	HG02559	C4BL	3593895	3614518	+
HG02572_1__C4_1	HG02572#1	HG02572	HG02570	C4AL	3629647	3650272	+
HG02572_1__C4_2	HG02572#1	HG02572	HG02570	C4BS	3662387	3676643	+
HG02572_2__C4_1	HG02572#2	HG02572	HG02570	C4AL	3559993	3580618	+
HG02583_1__C4_1	HG02583#1	HG02583	HG02582	C4AL	3629890	3650515	+
HG02583_1__C4_2	HG02583#1	HG02583	HG02582	C4BS	3662629	3676885	+
HG02583_2__C4_1	HG02583#2	HG02583	HG02582	C4AL	3560862	3581487	+
HG02602_1__C4_1	HG02602#1	HG02602	HG02600	C4AL	3560694	3581319	+
HG02602_1__C4_2	HG02602#1	HG02602	HG02600	C4BS	3593434	3607690	+
HG02602_2__C4_1	HG02602#2	HG02602	HG02600	C4AL	3555178	3575802	+
HG02602_2__C4_2	HG02602#2	HG02602	HG02600	C4BL	3587916	3608540	+
HG02615_1__C4_1	HG02615#1	HG02615	HG02613	C4AL	3628819	3649445	+
HG02615_1__C4_2	HG02615#1	HG02615	HG02613	C4BS	3661554	3675812	+
HG02615_2__C4_1	HG02615#2	HG02615	HG02613	C4AL	3502554	3523179	+
HG02615_2__C4_2	HG02615#2	HG02615	HG02613	C4BS	3535293	3549549	+
HG02622_1__C4_1	HG02622#1	HG02622	HG02620	C4AL	3631776	3652401	+
HG02622_1__C4_2	HG02622#1	HG02622	HG02620	C4BS	3664513	3678769	+
HG02622_1__C4_3	HG02622#1	HG02622	HG02620	C4BS	3690884	3705140	+
HG02622_2__C4_1	HG02622#2	HG02622	HG02620	C4AL	3550646	3571271	+
HG02630_1__C4_1	HG02630#1	HG02630	HG02628	C4AL	3560187	3580812	+
HG02630_1__C4_2	HG02630#1	HG02630	HG02628	C4BS	3592927	3607183	+
HG02630_2__C4_1	HG02630#2	HG02630	HG02628	C4AL	3572401	3593026	+
HG02630_2__C4_2	HG02630#2	HG02630	HG02628	C4BS	3605139	3619395	+
HG02647_1__C4_1	HG02647#1	HG02647	HG02645	C4AL	3565422	3586046	+
HG02647_1__C4_2	HG02647#1	HG02647	HG02645	C4BS	3598160	3612416	+
HG02647_2__C4_1	HG02647#2	HG02647	HG02645	C4AL	3513264	3533889	+
HG02668_1__C4_1	HG02668#1	HG02668	HG02666	C4AL	3559880	3580505	+
HG02668_1__C4_2	HG02668#1	HG02668	HG02666	C4BS	3592620	3606876	+
HG02668_2__C4_1	HG02668#2	HG02668	HG02666	C4AL	3565723	3586348	+
HG02668_2__C4_2	HG02668#2	HG02668	HG02666	C4BS	3598462	3612719	+
HG02698_1__C4_1	HG02698#1	HG02698	HG02696	C4AL	3559617	3580242	+
HG02698_1__C4_2	HG02698#1	HG02698	HG02696	C4AS	3592356	3606613	+
HG02698_1__C4_3	HG02698#1	HG02698	HG02696	C4BS	3618727	3632983	+
HG02698_2__C4_1	HG02698#2	HG02698	HG02696	C4AL	3563370	3583995	+
HG02698_2__C4_2	HG02698#2	HG02698	HG02696	C4BL	3596107	3616731	+
HG02717_1__C4_1	HG02717#1	HG02717	HG02715	C4AL	3567880	3588505	+
HG02717_1__C4_2	HG02717#1	HG02717	HG02715	C4BS	3600619	3614876	+
HG02717_2__C4_1	HG02717#2	HG02717	HG02715	C4BL	3562628	3583250	+
HG02717_2__C4_2	HG02717#2	HG02717	HG02715	C4AS	3595364	3609621	+
HG02717_2__C4_3	HG02717#2	HG02717	HG02715	C4BS	3621732	3635988	+
HG02738_1__C4_1	HG02738#1	HG02738	HG02736	C4AL	3560927	3581551	+
HG02738_1__C4_2	HG02738#1	HG02738	HG02736	C4BS	3593781	3608039	+
HG02738_2__C4_1	HG02738#2	HG02738	HG02736	C4BL	3499562	3520184	+
HG02738_2__C4_2	HG02738#2	HG02738	HG02736	C4AS	3532298	3546555	+
HG02738_2__C4_3	HG02738#2	HG02738	HG02736	C4BS	3558666	3572922	+
HG02809_1__C4_1	HG02809#1	HG02809	HG02807	C4AL	3562435	3583059	+
HG02809_1__C4_2	HG02809#1	HG02809	HG02807	C4BS	3595172	3609428	+
HG02809_2__C4_1	HG02809#2	HG02809	HG02807	C4AL	3563538	3584163	+
HG02809_2__C4_2	HG02809#2	HG02809	HG02807	C4BS	3596276	3610532	+
HG02818_1__C4_1	HG02818#1	HG02818	HG02816	C4AL	3632163	3652787	+
HG02818_1__C4_2	HG02818#1	HG02818	HG02816	C4BS	3664901	3679157	+
HG02818_2__C4_1	HG02818#2	HG02818	HG02816	C4AL	3563100	3583725	+
HG02818_2__C4_2	HG02818#2	HG02818	HG02816	C4BS	3595838	3610094	+
HG02922_1__C4_1	HG02922#1	HG02922	HG02922	C4AL	3561708	3582333	+
HG02922_1__C4_2	HG02922#1	HG02922	HG02922	C4BS	3594447	3608704	+
HG02922_2__C4_1	HG02922#2	HG02922	HG02922	C4AL	3633167	3653792	+
HG02922_2__C4_2	HG02922#2	HG02922	HG02922	C4BS	3665905	3680161	+
HG02976_1__C4_1	HG02976#1	HG02976	HG02976	C4AL	3573639	3594264	+
HG02976_2__C4_1	HG02976#2	HG02976	HG02976	C4AL	3567185	3587809	+
HG02976_2__C4_2	HG02976#2	HG02976	HG02976	C4BS	3599923	3614179	+
HG02984_1__C4_1	HG02984#1	HG02984	HG02982	C4BS	3566512	3580768	+
HG02984_1__C4_2	HG02984#1	HG02984	HG02982	C4BS	3592883	3607139	+
HG02984_2__C4_1	HG02984#2	HG02984	HG02982	C4AL	3566942	3587567	+
HG02984_2__C4_2	HG02984#2	HG02984	HG02982	C4BS	3599680	3613936	+
HG03017_1__C4_1	HG03017#1	HG03017	HG03015	C4BL	3512446	3533070	+
HG03017_2__C4_1	HG03017#2	HG03017	HG03015	C4BS	3573563	3587821	+
HG03041_1__C4_1	HG03041#1	HG03041	HG03039	C4AL	3638465	3659090	+
HG03041_1__C4_2	HG03041#1	HG03041	HG03039	C4BS	3671203	3685459	+
HG03041_2__C4_1	HG03041#2	HG03041	HG03039	C4AL	3567310	3587935	+
HG03041_2__C4_2	HG03041#2	HG03041	HG03039	C4BS	3600048	3614304	+
HG03050_1__C4_1	HG03050#1	HG03050	HG03048	C4AL	3505153	3525778	+
HG03050_1__C4_2	HG03050#1	HG03050	HG03048	C4BS	3537892	3552148	+
HG03050_2__C4_1	HG03050#2	HG03050	HG03048	C4AL	3630198	3650822	+
HG03050_2__C4_2	HG03050#2	HG03050	HG03048	C4AS	3662936	3677192	+
HG03098_1__C4_1	HG03098#1	HG03098	HG03096	C4AL	3630176	3650801	+
HG03098_1__C4_2	HG03098#1	HG03098	HG03096	C4BS	3662915	3677172	+
HG03098_2__C4_1	HG03098#2	HG03098	HG03096	C4AL	3560147	3580772	+
HG03130_1__C4_1	HG03130#1	HG03130	HG03129	C4AL	3561790	3582415	+
HG03130_1__C4_2	HG03130#1	HG03130	HG03129	C4BS	3594528	3608784	+
HG03130_2__C4_1	HG03130#2	HG03130	HG03129	C4AL	3631712	3652337	+
HG03130_2__C4_2	HG03130#2	HG03130	HG03129	C4BS	3664451	3678707	+
HG03139_1__C4_1	HG03139#1	HG03139	HG03139	C4AL	3562903	3583528	+
HG03139_2__C4_1	HG03139#2	HG03139	HG03139	C4AL	3560029	3580654	+
HG03139_2__C4_2	HG03139#2	HG03139	HG03139	C4BS	3592768	3607025	+
HG03195_1__C4_1	HG03195#1	HG03195	HG03195	C4AL	3561873	3582498	+
HG03195_1__C4_2	HG03195#1	HG03195	HG03195	C4BS	3594611	3608867	+
HG03195_2__C4_1	HG03195#2	HG03195	HG03195	C4AL	3565443	3586068	+
HG03195_2__C4_2	HG03195#2	HG03195	HG03195	C4BS	3598183	3612439	+
HG03209_1__C4_1	HG03209#1	HG03209	HG03209	C4AL	3565413	3586038	+
HG03209_1__C4_2	HG03209#1	HG03209	HG03209	C4BS	3598151	3612407	+
HG03209_2__C4_1	HG03209#2	HG03209	HG03209	C4AL	3555096	3575721	+
HG03209_2__C4_2	HG03209#2	HG03209	HG03209	C4BS	3587836	3602092	+
HG03225_1__C4_1	HG03225#1	HG03225	HG03225	C4AL	3567947	3588572	+
HG03225_1__C4_2	HG03225#1	HG03225	HG03225	C4BS	3600683	3614939	+
HG03225_2__C4_1	HG03225#2	HG03225	HG03225	C4AL	3632885	3653510	+
HG03225_2__C4_2	HG03225#2	HG03225	HG03225	C4BS	3665624	3679881	+
HG03239_1__C4_1	HG03239#1	HG03239	HG03237	C4AL	3515441	3536065	+
HG03239_2__C4_1	HG03239#2	HG03239	HG03237	C4AL	3562543	3583168	+
HG03239_2__C4_2	HG03239#2	HG03239	HG03237	C4BS	3595283	3609539	+
HG03239_2__C4_3	HG03239#2	HG03239	HG03237	C4BS	3621654	3635910	+
HG03270_1__C4_1	HG03270#1	HG03270	HG03270	C4AL	3571546	3592170	+
HG03270_1__C4_2	HG03270#1	HG03270	HG03270	C4BS	3604284	3618540	+
HG03270_2__C4_1	HG03270#2	HG03270	HG03270	C4AL	3572626	3593251	+
HG03270_2__C4_2	HG03270#2	HG03270	HG03270	C4BS	3605364	3619620	+
HG03369_1__C4_1	HG03369#1	HG03369	HG03369	C4AL	3578128	3598753	+
HG03369_1__C4_2	HG03369#1	HG03369	HG03369	C4BS	3610867	3625123	+
HG03369_2__C4_1	HG03369#2	HG03369	HG03369	C4AL	3628330	3648955	+
HG03369_2__C4_2	HG03369#2	HG03369	HG03369	C4BS	3661070	3675326	+
HG03453_1__C4_1	HG03453#1	HG03453	HG03451	C4AL	3530140	3550765	+
HG03453_1__C4_2	HG03453#1	HG03453	HG03451	C4BS	3562879	3577135	+
HG03453_2__C4_1	HG03453#2	HG03453	HG03451	C4AL	3559748	3580373	+
HG03470_1__C4_1	HG03470#1	HG03470	HG03438	C4AL	3557926	3578551	+
HG03470_1__C4_2	HG03470#1	HG03470	HG03438	C4BS	3590664	3604921	+
HG03470_2__C4_1	HG03470#2	HG03470	HG03438	C4AL	3505109	3525734	+
HG03470_2__C4_2	HG03470#2	HG03470	HG03438	C4BS	3537848	3552104	+
HG03471_1__C4_1	HG03471#1	HG03471	HG03471	C4AL	3530339	3550964	+
HG03471_1__C4_2	HG03471#1	HG03471	HG03471	C4BS	3563078	3577334	+
HG03471_2__C4_1	HG03471#2	HG03471	HG03471	C4AL	3630651	3651275	+
HG03471_2__C4_2	HG03471#2	HG03471	HG03471	C4AS	3663389	3677645	+
HG03486_1__C4_1	HG03486#1	HG03486	HG03484	C4AL	3562483	3583107	+
HG03486_1__C4_2	HG03486#1	HG03486	HG03484	C4AS	3595221	3609477	+
HG03486_2__C4_1	HG03486#2	HG03486	HG03484	C4AL	3566259	3586884	+
HG03486_2__C4_2	HG03486#2	HG03486	HG03484	C4BS	3598999	3613255	+
HG03516_1__C4_1	HG03516#1	HG03516	HG03514	C4AL	3572513	3593138	+
HG03516_1__C4_2	HG03516#1	HG03516	HG03514	C4BS	3605252	3619508	+
HG03516_2__C4_1	HG03516#2	HG03516	HG03514	C4AL	3629051	3649676	+
HG03516_2__C4_2	HG03516#2	HG03516	HG03514	C4BS	3661791	3676047	+
HG03521_1__C4_1	HG03521#1	HG03521	HG03520	C4AL	3558975	3579600	+
HG03521_1__C4_2	HG03521#1	HG03521	HG03520	C4BS	3591715	3605972	+
HG03521_2__C4_1	HG03521#2	HG03521	HG03520	C4AL	3561088	3581713	+
HG03521_2__C4_2	HG03521#2	HG03521	HG03520	C4BS	3593827	3608083	+
HG03579_1__C4_1	HG03579#1	HG03579	HG03577	C4AL	3522276	3542901	+
HG03579_1__C4_2	HG03579#1	HG03579	HG03577	C4BS	3555015	3569272	+
HG03579_2__C4_1	HG03579#2	HG03579	HG03577	C4AL	3619799	3640423	+
HG03579_2__C4_2	HG03579#2	HG03579	HG03577	C4AS	3652537	3666793	+
HG03583_1__C4_1	HG03583#1	HG03583	HG03582	C4AL	3638848	3659473	+
HG03583_1__C4_2	HG03583#1	HG03583	HG03582	C4BS	3671588	3685844	+
HG03583_2__C4_1	HG03583#2	HG03583	HG03582	C4AL	3563830	3584455	+
HG03583_2__C4_2	HG03583#2	HG03583	HG03582	C4BS	3596568	3610824	+
HG03654_1__C4_1	HG03654#1	HG03654	HG03652	C4AL	3571671	3592294	+
HG03654_1__C4_2	HG03654#1	HG03654	HG03652	C4BL	3604408	3625032	+
HG03654_2__C4_1	HG03654#2	HG03654	HG03652	C4AL	3563653	3584277	+
HG03654_2__C4_2	HG03654#2	HG03654	HG03652	C4BS	3596507	3610765	+
HG03669_1__C4_1	HG03669#1	HG03669	HG03667	C4AL	3566089	3586713	+
HG03669_1__C4_2	HG03669#1	HG03669	HG03667	C4BL	3598827	3619451	+
HG03669_2__C4_1	HG03669#2	HG03669	HG03667	C4AL	3548233	3568857	+
HG03669_2__C4_2	HG03669#2	HG03669	HG03667	C4BL	3580971	3601595	+
HG03688_1__C4_1	HG03688#1	HG03688	HG03688	C4AL	3565833	3586457	+
HG03688_1__C4_2	HG03688#1	HG03688	HG03688	C4BL	3598691	3619315	+
HG03688_2__C4_1	HG03688#2	HG03688	HG03688	C4AL	3564871	3585495	+
HG03688_2__C4_2	HG03688#2	HG03688	HG03688	C4BL	3597609	3618233	+
HG03704_1__C4_1	HG03704#1	HG03704	HG03702	C4AL	3572400	3593023	+
HG03704_1__C4_2	HG03704#1	HG03704	HG03702	C4BS	3605137	3619392	+
HG03704_2__C4_1	HG03704#2	HG03704	HG03702	C4AL	3561733	3582358	+
HG03704_2__C4_2	HG03704#2	HG03704	HG03702	C4BS	3594473	3608729	+
HG03710_1__C4_1	HG03710#1	HG03710	HG03708	C4AL	3565529	3586153	+
HG03710_1__C4_2	HG03710#1	HG03710	HG03708	C4BL	3598267	3618891	+
HG03710_2__C4_1	HG03710#2	HG03710	HG03708	C4AL	3568363	3589010	+
HG03710_2__C4_2	HG03710#2	HG03710	HG03708	C4BL	3601124	3621748	+
HG03742_1__C4_1	HG03742#1	HG03742	HG03742	C4AL	3561478	3582102	+
HG03742_1__C4_2	HG03742#1	HG03742	HG03742	C4BL	3594216	3614840	+
HG03742_2__C4_1	HG03742#2	HG03742	HG03742	C4AL	3551885	3572510	+
HG03742_2__C4_2	HG03742#2	HG03742	HG03742	C4BS	3584623	3598879	+
HG03784_1__C4_1	HG03784#1	HG03784	HG03784	C4AL	3566418	3587042	+
HG03784_1__C4_2	HG03784#1	HG03784	HG03784	C4BL	3599276	3619900	+
HG03784_2__C4_1	HG03784#2	HG03784	HG03784	C4AL	3568353	3588979	+
HG03784_2__C4_2	HG03784#2	HG03784	HG03784	C4AS	3601093	3615350	+
HG03784_2__C4_3	HG03784#2	HG03784	HG03784	C4BL	3627464	3648089	+
HG03804_1__C4_1	HG03804#1	HG03804	HG03802	C4AL	3562563	3583188	+
HG03804_1__C4_2	HG03804#1	HG03804	HG03802	C4AS	3595302	3609559	+
HG03804_1__C4_3	HG03804#1	HG03804	HG03802	C4BS	3621673	3635929	+
HG03804_2__C4_1	HG03804#2	HG03804	HG03802	C4AL	3512654	3533279	+
HG03804_2__C4_2	HG03804#2	HG03804	HG03802	C4BS	3545394	3559650	+
HG03816_1__C4_1	HG03816#1	HG03816	HG03814	C4AL	3574842	3595467	+
HG03816_1__C4_2	HG03816#1	HG03816	HG03814	C4BS	3607582	3621838	+
HG03816_1__C4_3	HG03816#1	HG03816	HG03814	C4BS	3633953	3648209	+
HG03816_2__C4_1	HG03816#2	HG03816	HG03814	C4AL	3632547	3653171	+
HG03816_2__C4_2	HG03816#2	HG03816	HG03814	C4BL	3665285	3685909	+
HG03831_1__C4_1	HG03831#1	HG03831	HG03829	C4AL	3628742	3649366	+
HG03831_1__C4_2	HG03831#1	HG03831	HG03829	C4BL	3661480	3682103	+
HG03831_2__C4_1	HG03831#2	HG03831	HG03829	C4AL	3632175	3652800	+
HG03831_2__C4_2	HG03831#2	HG03831	HG03829	C4BS	3664914	3679170	+
HG03831_2__C4_3	HG03831#2	HG03831	HG03829	C4AL	3691284	3711909	+
HG03834_1__C4_1	HG03834#1	HG03834	HG03832	C4AL	3624126	3644751	+
HG03834_1__C4_2	HG03834#1	HG03834	HG03832	C4BS	3656866	3671122	+
HG03834_2__C4_1	HG03834#2	HG03834	HG03832	C4AL	3551799	3572423	+
HG03834_2__C4_2	HG03834#2	HG03834	HG03832	C4BS	3584536	3598787	+
HG03874_1__C4_1	HG03874#1	HG03874	HG03874	C4AL	3561769	3582416	+
HG03874_1__C4_2	HG03874#1	HG03874	HG03874	C4AS	3594530	3608787	+
HG03874_1__C4_3	HG03874#1	HG03874	HG03874	C4BL	3620901	3641525	+
HG03874_2__C4_1	HG03874#2	HG03874	HG03874	C4AL	3561507	3582133	+
HG03874_2__C4_2	HG03874#2	HG03874	HG03874	C4BS	3594248	3608504	+
HG03942_1__C4_1	HG03942#1	HG03942	HG03940	C4AL	3564733	3585358	+
HG03942_1__C4_2	HG03942#1	HG03942	HG03940	C4BS	3597472	3611728	+
HG03942_2__C4_1	HG03942#2	HG03942	HG03940	C4AL	3556245	3576870	+
HG03942_2__C4_2	HG03942#2	HG03942	HG03940	C4AS	3588984	3603241	+
HG03942_2__C4_3	HG03942#2	HG03942	HG03940	C4BS	3615355	3629611	+
HG04115_1__C4_1	HG04115#1	HG04115	HG03894	C4AL	3569114	3589739	+
HG04115_1__C4_2	HG04115#1	HG04115	HG03894	C4BS	3601852	3616108	+
HG04115_2__C4_1	HG04115#2	HG04115	HG03894	C4AL	3562862	3583487	+
HG04115_2__C4_2	HG04115#2	HG04115	HG03894	C4BS	3595602	3609858	+
HG04157_1__C4_1	HG04157#1	HG04157	HG04155	C4AL	3626708	3647333	+
HG04157_1__C4_2	HG04157#1	HG04157	HG04155	C4BS	3659448	3673704	+
HG04157_1__C4_3	HG04157#1	HG04157	HG04155	C4BS	3685819	3700075	+
HG04157_2__C4_1	HG04157#2	HG04157	HG04155	C4AL	3550677	3571300	+
HG04160_1__C4_1	HG04160#1	HG04160	HG04158	C4AL	3629669	3650294	+
HG04160_1__C4_2	HG04160#1	HG04160	HG04158	C4BS	3662407	3676663	+
HG04160_2__C4_1	HG04160#2	HG04160	HG04158	C4AL	3629798	3650423	+
HG04160_2__C4_2	HG04160#2	HG04160	HG04158	C4BS	3662536	3676792	+
HG04184_1__C4_1	HG04184#1	HG04184	HG04182	C4AL	3560977	3581602	+
HG04184_1__C4_2	HG04184#1	HG04184	HG04182	C4BS	3593717	3607973	+
HG04184_2__C4_1	HG04184#2	HG04184	HG04182	C4AL	3625196	3645821	+
HG04184_2__C4_2	HG04184#2	HG04184	HG04182	C4BS	3657936	3672192	+
HG04184_2__C4_3	HG04184#2	HG04184	HG04182	C4BS	3684307	3698563	+
HG04187_1__C4_1	HG04187#1	HG04187	HG04185	C4AL	3631722	3652346	+
HG04187_1__C4_2	HG04187#1	HG04187	HG04185	C4BS	3664576	3678834	+
HG04187_2__C4_1	HG04187#2	HG04187	HG04185	C4AL	3566782	3587406	+
HG04187_2__C4_2	HG04187#2	HG04187	HG04185	C4BL	3599520	3620144	+
HG04228_1__C4_1	HG04228#1	HG04228	HG04227	C4AL	3561489	3582113	+
HG04228_1__C4_2	HG04228#1	HG04228	HG04227	C4BL	3594227	3614850	+
HG04228_2__C4_1	HG04228#2	HG04228	HG04227	C4AL	3560048	3580673	+
HG04228_2__C4_2	HG04228#2	HG04228	HG04227	C4BL	3592787	3613411	+
HG06807_1__C4_1	HG06807#1	HG06807	HG06807	C4AL	3564972	3585597	+
HG06807_1__C4_2	HG06807#1	HG06807	HG06807	C4BS	3597712	3611968	+
HG06807_2__C4_1	HG06807#2	HG06807	HG06807	C4BS	3631988	3646244	+
NA18505_1__C4_1	NA18505#1	NA18505	NA18503	C4AL	3563285	3583910	+
NA18505_2__C4_1	NA18505#2	NA18505	NA18503	C4AL	3565368	3585993	+
NA18505_2__C4_2	NA18505#2	NA18505	NA18503	C4BS	3598108	3612364	+
NA18508_1__C4_1	NA18508#1	NA18508	NA18506	C4AL	3636891	3657515	+
NA18508_1__C4_2	NA18508#1	NA18508	NA18506	C4AS	3669629	3683885	+
NA18508_2__C4_1	NA18508#2	NA18508	NA18506	C4AL	3632420	3653045	+
NA18508_2__C4_2	NA18508#2	NA18508	NA18506	C4BS	3665159	3679415	+
NA18522_1__C4_1	NA18522#1	NA18522	NA18521	C4AL	3565751	3586376	+
NA18522_1__C4_2	NA18522#1	NA18522	NA18521	C4BS	3598491	3612747	+
NA18522_2__C4_1	NA18522#2	NA18522	NA18521	C4AL	3571597	3592222	+
NA18522_2__C4_2	NA18522#2	NA18522	NA18521	C4BS	3604337	3618593	+
NA18565_1__C4_1	NA18565#1	NA18565	NA18565	C4AL	3504834	3525454	+
NA18565_1__C4_2	NA18565#1	NA18565	NA18565	C4BS	3537567	3551818	+
NA18565_2__C4_1	NA18565#2	NA18565	NA18565	C4AL	3569878	3590502	+
NA18565_2__C4_2	NA18565#2	NA18565	NA18565	C4BS	3602615	3616871	+
NA18570_1__C4_1	NA18570#1	NA18570	NA18570	C4AL	3566322	3586946	+
NA18570_1__C4_2	NA18570#1	NA18570	NA18570	C4BS	3599059	3613310	+
NA18570_2__C4_1	NA18570#2	NA18570	NA18570	C4AL	3563767	3584390	+
NA18570_2__C4_2	NA18570#2	NA18570	NA18570	C4BS	3596623	3610874	+
NA18608_1__C4_1	NA18608#1	NA18608	NA18608	C4AL	3515448	3536072	+
NA18608_1__C4_2	NA18608#1	NA18608	NA18608	C4BL	3548183	3568807	+
NA18608_2__C4_1	NA18608#2	NA18608	NA18608	C4AL	3636238	3656862	+
NA18608_2__C4_2	NA18608#2	NA18608	NA18608	C4BL	3668976	3689600	+
NA18620_1__C4_1	NA18620#1	NA18620	NA18620	C4AL	3557695	3578319	+
NA18620_1__C4_2	NA18620#1	NA18620	NA18620	C4BL	3590433	3611057	+
NA18620_2__C4_1	NA18620#2	NA18620	NA18620	C4AL	3464137	3484761	+
NA18620_2__C4_2	NA18620#2	NA18620	NA18620	C4AS	3496874	3511125	+
NA18747_1__C4_1	NA18747#1	NA18747	NA18747	C4AL	3562054	3582678	+
NA18747_1__C4_2	NA18747#1	NA18747	NA18747	C4BL	3594792	3615415	+
NA18747_2__C4_1	NA18747#2	NA18747	NA18747	C4AL	3563378	3584002	+
NA18747_2__C4_2	NA18747#2	NA18747	NA18747	C4BL	3596116	3616740	+
NA18879_1__C4_1	NA18879#1	NA18879	NA18878	C4AS	3517074	3531330	+
NA18879_2__C4_1	NA18879#2	NA18879	NA18878	C4AL	3571803	3592428	+
NA18879_2__C4_2	NA18879#2	NA18879	NA18878	C4BS	3604543	3618799	+
NA18906_1__C4_1	NA18906#1	NA18906	NA18876	C4AL	3572457	3593082	+
NA18906_1__C4_2	NA18906#1	NA18906	NA18876	C4BS	3605195	3619451	+
NA18906_2__C4_1	NA18906#2	NA18906	NA18876	C4AL	3565056	3585681	+
NA18906_2__C4_2	NA18906#2	NA18906	NA18876	C4BS	3597794	3612050	+
NA18940_1__C4_1	NA18940#1	NA18940	NA18940	C4AL	3518099	3538723	+
NA18940_1__C4_2	NA18940#1	NA18940	NA18940	C4AL	3550837	3571461	+
