donor	stratum	population	family	fold	cohort	cram
HG00451	EAS	CHS	SH017	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240189/HG00451.final.cram
HG00452	EAS	CHS	SH017	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240190/HG00452.final.cram
HG00457	EAS	CHS	SH019	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241675/HG00457.final.cram
HG00458	EAS	CHS	SH019	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241676/HG00458.final.cram
HG00463	EAS	CHS	SH021	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240191/HG00463.final.cram
HG00464	EAS	CHS	SH021	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240192/HG00464.final.cram
HG00472	EAS	CHS	SH024	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241677/HG00472.final.cram
HG00473	EAS	CHS	SH024	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241678/HG00473.final.cram
HG00475	EAS	CHS	SH025	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241679/HG00475.final.cram
HG00476	EAS	CHS	SH025	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241680/HG00476.final.cram
HG00478	EAS	CHS	SH026	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241681/HG00478.final.cram
HG00479	EAS	CHS	SH026	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241682/HG00479.final.cram
HG00500	EAS	CHS	SH028	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241683/HG00500.final.cram
HG00501	EAS	CHS	SH028	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988778/HG00501.final.cram
HG00512	EAS	CHS	SH032	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988780/HG00512.final.cram
HG00513	EAS	CHS	SH032	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241684/HG00513.final.cram
HG00524	EAS	CHS	SH036	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241685/HG00524.final.cram
HG00525	EAS	CHS	SH036	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241686/HG00525.final.cram
HG00530	EAS	CHS	SH038	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241687/HG00530.final.cram
HG00531	EAS	CHS	SH038	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241688/HG00531.final.cram
HG00533	EAS	CHS	SH039	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241689/HG00533.final.cram
HG00534	EAS	CHS	SH039	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241690/HG00534.final.cram
HG00536	EAS	CHS	SH040	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241691/HG00536.final.cram
HG00537	EAS	CHS	SH040	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241692/HG00537.final.cram
HG00551	AMR	PUR	PR01	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241804/HG00551.final.cram
HG00553	AMR	PUR	PR02	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241695/HG00553.final.cram
HG00554	AMR	PUR	PR02	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241696/HG00554.final.cram
HG00559	EAS	CHS	SH046	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241699/HG00559.final.cram
HG00560	EAS	CHS	SH046	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241700/HG00560.final.cram
HG00565	EAS	CHS	SH048	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241701/HG00565.final.cram
HG00566	EAS	CHS	SH048	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241702/HG00566.final.cram
HG00577	EAS	CHS	SH052	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988792/HG00577.final.cram
HG00578	EAS	CHS	SH052	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988793/HG00578.final.cram
HG00580	EAS	CHS	SH053	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241703/HG00580.final.cram
HG00581	EAS	CHS	SH053	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241704/HG00581.final.cram
HG00583	EAS	CHS	SH054	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241705/HG00583.final.cram
HG00584	EAS	CHS	SH054	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241706/HG00584.final.cram
HG00589	EAS	CHS	SH056	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241707/HG00589.final.cram
HG00590	EAS	CHS	SH056	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241708/HG00590.final.cram
HG00592	EAS	CHS	SH057	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241709/HG00592.final.cram
HG00593	EAS	CHS	SH057	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241710/HG00593.final.cram
HG00610	EAS	CHS	SH063	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241715/HG00610.final.cram
HG00611	EAS	CHS	SH063	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241716/HG00611.final.cram
HG00613	EAS	CHS	SH064	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241717/HG00613.final.cram
HG00614	EAS	CHS	SH064	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241718/HG00614.final.cram
HG00625	EAS	CHS	SH068	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241721/HG00625.final.cram
HG00626	EAS	CHS	SH068	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241722/HG00626.final.cram
HG00628	EAS	CHS	SH069	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241723/HG00628.final.cram
HG00629	EAS	CHS	SH069	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241724/HG00629.final.cram
HG00634	EAS	CHS	SH071	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241725/HG00634.final.cram
HG00635	EAS	CHS	SH071	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988806/HG00635.final.cram
HG00650	EAS	CHS	SH072	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241730/HG00650.final.cram
HG00651	EAS	CHS	SH072	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241731/HG00651.final.cram
HG00653	EAS	CHS	SH073	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241732/HG00653.final.cram
HG00654	EAS	CHS	SH073	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241733/HG00654.final.cram
HG00662	EAS	CHS	SH076	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241736/HG00662.final.cram
HG00663	EAS	CHS	SH076	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241737/HG00663.final.cram
HG00683	EAS	CHS	SH083	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241740/HG00683.final.cram
HG00684	EAS	CHS	SH083	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241741/HG00684.final.cram
HG00689	EAS	CHS	SH085	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241742/HG00689.final.cram
HG00690	EAS	CHS	SH085	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241743/HG00690.final.cram
HG00692	EAS	CHS	SH086	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241744/HG00692.final.cram
HG00693	EAS	CHS	SH086	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241745/HG00693.final.cram
HG00698	EAS	CHS	SH088	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241746/HG00698.final.cram
HG00699	EAS	CHS	SH088	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241747/HG00699.final.cram
HG00701	EAS	CHS	SH089	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241748/HG00701.final.cram
HG00702	EAS	CHS	SH089	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988819/HG00702.final.cram
HG00707	EAS	CHS	SH091	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241751/HG00707.final.cram
HG00708	EAS	CHS	SH091	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241752/HG00708.final.cram
HG01048	AMR	PUR	PR08	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241761/HG01048.final.cram
HG01049	AMR	PUR	PR08	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241762/HG01049.final.cram
HG01051	AMR	PUR	PR11	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241805/HG01051.final.cram
HG01052	AMR	PUR	PR11	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241806/HG01052.final.cram
HG01054	AMR	PUR	PR12	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241763/HG01054.final.cram
HG01055	AMR	PUR	PR12	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241764/HG01055.final.cram
HG01060	AMR	PUR	PR14	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241807/HG01060.final.cram
HG01061	AMR	PUR	PR14	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241808/HG01061.final.cram
HG01066	AMR	PUR	PR16	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241765/HG01066.final.cram
HG01067	AMR	PUR	PR16	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241766/HG01067.final.cram
HG01075	AMR	PUR	PR01	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241813/HG01075.final.cram
HG01082	AMR	PUR	PR28	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241814/HG01082.final.cram
HG01083	AMR	PUR	PR28	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241815/HG01083.final.cram
HG01085	AMR	PUR	PR26	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241816/HG01085.final.cram
HG01086	AMR	PUR	PR26	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241817/HG01086.final.cram
HG01094	AMR	PUR	PR29	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241818/HG01094.final.cram
HG01095	AMR	PUR	PR29	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241819/HG01095.final.cram
HG01101	AMR	PUR	PR19	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241820/HG01101.final.cram
HG01102	AMR	PUR	PR19	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241821/HG01102.final.cram
HG01110	AMR	PUR	PR34	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241826/HG01110.final.cram
HG01111	AMR	PUR	PR34	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241827/HG01111.final.cram
HG01112	AMR	CLM	CLM03	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241828/HG01112.final.cram
HG01113	AMR	CLM	CLM03	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241829/HG01113.final.cram
HG01124	AMR	CLM	CLM04	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241830/HG01124.final.cram
HG01125	AMR	CLM	CLM04	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241831/HG01125.final.cram
HG01133	AMR	CLM	CLM07	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241832/HG01133.final.cram
HG01134	AMR	CLM	CLM07	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241833/HG01134.final.cram
HG01136	AMR	CLM	CLM08	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241834/HG01136.final.cram
HG01137	AMR	CLM	CLM08	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241835/HG01137.final.cram
HG01139	AMR	CLM	CLM09	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241836/HG01139.final.cram
HG01140	AMR	CLM	CLM09	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241837/HG01140.final.cram
HG01170	AMR	PUR	PR24	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241842/HG01170.final.cram
HG01171	AMR	PUR	PR24	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241843/HG01171.final.cram
HG01176	AMR	PUR	PR42	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241846/HG01176.final.cram
HG01177	AMR	PUR	PR42	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241847/HG01177.final.cram
HG01182	AMR	PUR	PR44	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241848/HG01182.final.cram
HG01183	AMR	PUR	PR44	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241849/HG01183.final.cram
HG01187	AMR	PUR	PR38	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241850/HG01187.final.cram
HG01188	AMR	PUR	PR38	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241851/HG01188.final.cram
HG01197	AMR	PUR	PR46	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241854/HG01197.final.cram
HG01198	AMR	PUR	PR46	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241855/HG01198.final.cram
HG01204	AMR	PUR	PR49	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241856/HG01204.final.cram
HG01205	AMR	PUR	PR49	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241857/HG01205.final.cram
HG01247	AMR	PUR	PR32	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241860/HG01247.final.cram
HG01248	AMR	PUR	PR32	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241861/HG01248.final.cram
HG01271	AMR	CLM	CLM21	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241870/HG01271.final.cram
HG01272	AMR	CLM	CLM21	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241871/HG01272.final.cram
HG01274	AMR	CLM	CLM22	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988865/HG01274.final.cram
HG01275	AMR	CLM	CLM22	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241872/HG01275.final.cram
HG01277	AMR	CLM	CLM23	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241873/HG01277.final.cram
HG01278	AMR	CLM	CLM23	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988867/HG01278.final.cram
HG01334	EUR	GBR	HG01334	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241874/HG01334.final.cram
HG01341	AMR	CLM	CLM26	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241884/HG01341.final.cram
HG01342	AMR	CLM	CLM26	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241885/HG01342.final.cram
HG01347	AMR	CLM	CLM28	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988871/HG01347.final.cram
HG01348	AMR	CLM	CLM28	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241877/HG01348.final.cram
HG01350	AMR	CLM	CLM29	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241886/HG01350.final.cram
HG01351	AMR	CLM	CLM29	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241887/HG01351.final.cram
HG01353	AMR	CLM	CLM30	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241888/HG01353.final.cram
HG01354	AMR	CLM	CLM30	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241889/HG01354.final.cram
HG01365	AMR	CLM	CLM34	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241892/HG01365.final.cram
HG01366	AMR	CLM	CLM34	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241893/HG01366.final.cram
HG01374	AMR	CLM	CLM37	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241894/HG01374.final.cram
HG01375	AMR	CLM	CLM37	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241895/HG01375.final.cram
HG01377	AMR	CLM	CLM38	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241880/HG01377.final.cram
HG01378	AMR	CLM	CLM38	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241881/HG01378.final.cram
HG01383	AMR	CLM	CLM40	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241882/HG01383.final.cram
HG01384	AMR	CLM	CLM40	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241883/HG01384.final.cram
HG01389	AMR	CLM	CLM42	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241896/HG01389.final.cram
HG01390	AMR	CLM	CLM42	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241897/HG01390.final.cram
HG01437	AMR	CLM	CLM45	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241898/HG01437.final.cram
HG01438	AMR	CLM	CLM45	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241899/HG01438.final.cram
HG01440	AMR	CLM	CLM46a	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241900/HG01440.final.cram
HG01441	AMR	CLM	CLM46	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241901/HG01441.final.cram
HG01455	AMR	CLM	CLM51	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241902/HG01455.final.cram
HG01456	AMR	CLM	CLM51	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241903/HG01456.final.cram
HG01461	AMR	CLM	CLM53	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241904/HG01461.final.cram
HG01462	AMR	CLM	CLM53	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241905/HG01462.final.cram
HG01464	AMR	CLM	CLM54	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241906/HG01464.final.cram
HG01465	AMR	CLM	CLM54	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241907/HG01465.final.cram
HG01488	AMR	CLM	CLM62	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241908/HG01488.final.cram
HG01489	AMR	CLM	CLM62	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241909/HG01489.final.cram
HG01491	AMR	CLM	CLM63	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241910/HG01491.final.cram
HG01492	AMR	CLM	CLM63	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241911/HG01492.final.cram
HG01497	AMR	CLM	CLM65	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241914/HG01497.final.cram
HG01498	AMR	CLM	CLM65	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241915/HG01498.final.cram
HG01550	AMR	CLM	CLM66	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241940/HG01550.final.cram
HG01551	AMR	CLM	CLM66	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241941/HG01551.final.cram
NA06985	EUR	CEU	1341	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239276/NA06985.final.cram
NA06986	EUR	CEU	13291	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239277/NA06986.final.cram
NA06991	EUR	CEU	1341	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989263/NA06991.final.cram
NA06993	EUR	CEU	1341	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989264/NA06993.final.cram
NA06994	EUR	CEU	1340	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239278/NA06994.final.cram
NA06995	EUR	CEU	13291	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989265/NA06995.final.cram
NA06997	EUR	CEU	13291	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989266/NA06997.final.cram
NA07000	EUR	CEU	1340	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239279/NA07000.final.cram
NA07014	EUR	CEU	13292	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989267/NA07014.final.cram
NA07019	EUR	CEU	1340	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989268/NA07019.final.cram
NA07022	EUR	CEU	1340	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989269/NA07022.final.cram
NA07029	EUR	CEU	1340	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989270/NA07029.final.cram
NA07031	EUR	CEU	13292	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989271/NA07031.final.cram
NA07034	EUR	CEU	1341	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989272/NA07034.final.cram
NA07037	EUR	CEU	13291	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239280/NA07037.final.cram
NA07045	EUR	CEU	13291	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989273/NA07045.final.cram
NA07048	EUR	CEU	1341	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239642/NA07048.final.cram
NA07051	EUR	CEU	13292	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239281/NA07051.final.cram
NA07055	EUR	CEU	1341	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989274/NA07055.final.cram
