locus	haplotype	hap_id	gene	strand	clipped	gene_start0	gene_end0	cds
HLA-C	HIFI032335D.2	HIFI032335D#2	C	-	0	6571	10874	7484-7489,7653-7701,7808-7841,8280-8400,8521-8797,9384-9660,9906-10176,10306-10379
HLA-C	HIFI032349D.1	HIFI032349D#1	C	-	0	6234	10552	7149-7154,7318-7366,7473-7506,7946-8066,8190-8466,9053-9329,9579-9849,9979-10052
HLA-C	HIFI032349D.2	HIFI032349D#2	C	-	0	6242	10546	7157-7162,7326-7374,7481-7514,7953-8073,8194-8470,9057-9333,9578-9848,9978-10051
HLA-C	HIFI032373D.1	HIFI032373D#1	C	-	0	6226	10530	7140-7145,7309-7357,7464-7497,7936-8056,8177-8453,9040-9316,9562-9832,9962-10035
HLA-C	HIFI032373D.2	HIFI032373D#2	C	-	0	6242	10546	7157-7162,7326-7374,7481-7514,7953-8073,8194-8470,9057-9333,9578-9848,9978-10051
HLA-C	HIFI032420D.1	HIFI032420D#1	C	-	0	6234	10552	7149-7154,7318-7366,7473-7506,7946-8066,8190-8466,9053-9329,9579-9849,9979-10052
HLA-C	HIFI032420D.2	HIFI032420D#2	C	-	0	6226	10530	7140-7145,7309-7357,7464-7497,7936-8056,8177-8453,9040-9316,9562-9832,9962-10035
HLA-C	HIFI032422D.1	HIFI032422D#1	C	-	0	6246	10550	7160-7165,7329-7377,7484-7517,7956-8076,8197-8473,9060-9336,9582-9852,9982-10055
HLA-C	HIFI032422D.2	HIFI032422D#2	C	-	0	6242	10546	7157-7162,7326-7374,7481-7514,7953-8073,8194-8470,9057-9333,9578-9848,9978-10051
HLA-C	HIFI032429D.1	HIFI032429D#1	C	-	0	6237	10540	7150-7155,7319-7367,7474-7507,7946-8066,8187-8463,9050-9326,9572-9842,9972-10045
HLA-C	HIFI032429D.2	HIFI032429D#2	C	-	0	6242	10546	7157-7162,7326-7374,7481-7514,7953-8073,8194-8470,9057-9333,9578-9848,9978-10051
HLA-C	HIFI032440D.1	HIFI032440D#1	C	-	0	6226	10530	7140-7145,7309-7357,7464-7497,7936-8056,8177-8453,9040-9316,9562-9832,9962-10035
HLA-C	HIFI032440D.2	HIFI032440D#2	C	-	0	6234	10552	7149-7154,7318-7366,7473-7506,7946-8066,8190-8466,9053-9329,9579-9849,9979-10052
HLA-C	HIFI032450D.1	HIFI032450D#1	C	-	0	6242	10546	7157-7162,7326-7374,7481-7514,7953-8073,8194-8470,9057-9333,9578-9848,9978-10051
HLA-C	HIFI032450D.2	HIFI032450D#2	C	-	0	6234	10552	7149-7154,7318-7366,7473-7506,7946-8066,8190-8466,9053-9329,9579-9849,9979-10052
HLA-C	HIFI032453D.1	HIFI032453D#1	C	-	0	6234	10552	7149-7154,7318-7366,7473-7506,7946-8066,8190-8466,9053-9329,9579-9849,9979-10052
HLA-C	HIFI032453D.2	HIFI032453D#2	C	-	0	6248	10552	7162-7167,7331-7379,7486-7519,7958-8078,8199-8475,9062-9338,9584-9854,9984-10057
HLA-C	HIFI032454D.1	HIFI032454D#1	C	-	0	6986	10335	7157-7162,7326-7374,7481-7514,7954-8074,8195-8471,9058-9334,9579-9849,9979-10052
HLA-C	HIFI032454D.2	HIFI032454D#2	C	-	0	6648	10551	7161-7166,7330-7378,7485-7518,7957-8077,8198-8474,9061-9337,9583-9853,9983-10056
HLA-C	HIFI032462D.1	HIFI032462D#1	C	-	0	6246	10550	7160-7165,7329-7377,7484-7517,7956-8076,8197-8473,9060-9336,9582-9852,9982-10055
HLA-C	HIFI032462D.2	HIFI032462D#2	C	-	0	6234	10552	7149-7154,7318-7366,7473-7506,7946-8066,8190-8466,9053-9329,9579-9849,9979-10052
HLA-C	HIFI032473D.1	HIFI032473D#1	C	-	0	6234	10552	7149-7154,7318-7366,7473-7506,7946-8066,8190-8466,9053-9329,9579-9849,9979-10052
HLA-C	HIFI032473D.2	HIFI032473D#2	C	-	0	6242	10546	7157-7162,7326-7374,7481-7514,7953-8073,8194-8470,9057-9333,9578-9848,9978-10051
HLA-C	HIFI032487D.1	HIFI032487D#1	C	-	0	6242	10546	7157-7162,7326-7374,7481-7514,7953-8073,8194-8470,9057-9333,9578-9848,9978-10051
HLA-C	HIFI032487D.2	HIFI032487D#2	C	-	0	6234	10552	7149-7154,7318-7366,7473-7506,7946-8066,8190-8466,9053-9329,9579-9849,9979-10052
HLA-C	HIFI032501D.1	HIFI032501D#1	C	-	0	6242	10546	7157-7162,7326-7374,7481-7514,7953-8073,8194-8470,9057-9333,9578-9848,9978-10051
HLA-C	HIFI032501D.2	HIFI032501D#2	C	-	0	6226	10530	7140-7145,7309-7357,7464-7497,7936-8056,8177-8453,9040-9316,9562-9832,9962-10035
HLA-C	HIFI032510D.1	HIFI032510D#1	C	-	0	6242	10546	7157-7162,7326-7374,7481-7514,7953-8073,8194-8470,9057-9333,9578-9848,9978-10051
HLA-C	HIFI032510D.2	HIFI032510D#2	C	-	0	6237	10540	7150-7155,7319-7367,7474-7507,7946-8066,8187-8463,9050-9326,9572-9842,9972-10045
HLA-C	HIFI032513D.1	HIFI032513D#1	C	-	0	6242	10546	7157-7162,7326-7374,7481-7514,7953-8073,8194-8470,9057-9333,9578-9848,9978-10051
HLA-C	HIFI032513D.2	HIFI032513D#2	C	-	0	6246	10550	7160-7165,7329-7377,7484-7517,7956-8076,8197-8473,9060-9336,9582-9852,9982-10055
HLA-C	HIFI032529D.1	HIFI032529D#1	C	-	0	6253	10551	7161-7166,7330-7378,7485-7518,7957-8077,8198-8474,9061-9337,9583-9853,9983-10056
HLA-C	HIFI032529D.2	HIFI032529D#2	C	-	0	6226	10530	7140-7145,7309-7357,7464-7497,7936-8056,8177-8453,9040-9316,9562-9832,9962-10035
HLA-C	HIFI032566D.1	HIFI032566D#1	C	-	0	6226	10529	7139-7144,7308-7356,7463-7496,7935-8055,8176-8452,9039-9315,9561-9831,9961-10034
HLA-C	HIFI032566D.2	HIFI032566D#2	C	-	0	6246	10550	7160-7165,7329-7377,7484-7517,7956-8076,8197-8473,9060-9336,9582-9852,9982-10055
HLA-C	HIFI032567D.1	HIFI032567D#1	C	-	0	6226	10530	7140-7145,7309-7357,7464-7497,7936-8056,8177-8453,9040-9316,9562-9832,9962-10035
HLA-C	HIFI032567D.2	HIFI032567D#2	C	-	0	6248	10551	7161-7166,7330-7378,7485-7518,7957-8077,8198-8474,9061-9337,9583-9853,9983-10056
HLA-C	HIFI032585D.1	HIFI032585D#1	C	-	0	6242	10546	7157-7162,7326-7374,7481-7514,7953-8073,8194-8470,9057-9333,9578-9848,9978-10051
HLA-C	HIFI032585D.2	HIFI032585D#2	C	-	0	6242	10546	7157-7162,7326-7374,7481-7514,7953-8073,8194-8470,9057-9333,9578-9848,9978-10051
HLA-C	HIFI032586D.1	HIFI032586D#1	C	-	0	6242	10546	7156-7161,7325-7373,7480-7513,7952-8072,8193-8469,9056-9332,9578-9848,9978-10051
HLA-C	HIFI032586D.2	HIFI032586D#2	C	-	0	6242	10546	7157-7162,7326-7374,7481-7514,7953-8073,8194-8470,9057-9333,9578-9848,9978-10051
HLA-C	HIFI032591D.1	HIFI032591D#1	C	-	0	6234	10552	7149-7154,7318-7366,7473-7506,7946-8066,8190-8466,9053-9329,9579-9849,9979-10052
HLA-C	HIFI032591D.2	HIFI032591D#2	C	-	0	6226	10530	7140-7145,7309-7357,7464-7497,7936-8056,8177-8453,9040-9316,9562-9832,9962-10035
HLA-C	HIFI032604D.1	HIFI032604D#1	C	-	0	7117	10370	7162-7167,7331-7379,7486-7519,7958-8078,8199-8475,9062-9338,9584-9854,9984-10057
HLA-C	HIFI032604D.2	HIFI032604D#2	C	-	0	6566	10869	7479-7484,7648-7696,7803-7836,8275-8395,8516-8792,9379-9655,9901-10171,10301-10374
HLA-C	HIFI032607D.1	HIFI032607D#1	C	-	0	6248	10551	7161-7166,7330-7378,7485-7518,7957-8077,8198-8474,9061-9337,9583-9853,9983-10056
HLA-C	HIFI032607D.2	HIFI032607D#2	C	-	0	6237	10540	7150-7155,7319-7367,7474-7507,7946-8066,8187-8463,9050-9326,9572-9842,9972-10045
HLA-C	HIFI032662D.1	HIFI032662D#1	C	-	0	6248	10552	7162-7167,7331-7379,7486-7519,7958-8078,8199-8475,9062-9338,9584-9854,9984-10057
HLA-C	HIFI032662D.2	HIFI032662D#2	C	-	0	6242	10546	7157-7162,7326-7374,7481-7514,7953-8073,8194-8470,9057-9333,9578-9848,9978-10051
HLA-C	HIFI032668D.1	HIFI032668D#1	C	-	0	6234	10552	7149-7154,7318-7366,7473-7506,7946-8066,8190-8466,9053-9329,9579-9849,9979-10052
HLA-C	HIFI032668D.2	HIFI032668D#2	C	-	0	6226	10530	7140-7145,7309-7357,7464-7497,7936-8056,8177-8453,9040-9316,9562-9832,9962-10035
HLA-C	HIFI032682D.1	HIFI032682D#1	C	-	0	6567	10870	7480-7485,7649-7697,7804-7837,8276-8396,8517-8793,9380-9656,9902-10172,10302-10375
HLA-C	HIFI032682D.2	HIFI032682D#2	C	-	0	6246	10550	7160-7165,7329-7377,7484-7517,7956-8076,8197-8473,9060-9336,9582-9852,9982-10055
HLA-C	HIFI032685D.1	HIFI032685D#1	C	-	0	6565	10868	7478-7483,7647-7695,7802-7835,8274-8394,8515-8791,9378-9654,9900-10170,10300-10373
HLA-C	HIFI032685D.2	HIFI032685D#2	C	-	0	6242	10546	7157-7162,7326-7374,7481-7514,7953-8073,8194-8470,9057-9333,9578-9848,9978-10051
HLA-C	HIFI032692D.1	HIFI032692D#1	C	-	0	6242	10546	7157-7162,7326-7374,7481-7514,7953-8073,8194-8470,9057-9333,9578-9848,9978-10051
HLA-C	HIFI032692D.2	HIFI032692D#2	C	-	0	6248	10551	7161-7166,7330-7378,7485-7518,7957-8077,8198-8474,9061-9337,9583-9853,9983-10056
HLA-C	HIFI032693D.1	HIFI032693D#1	C	-	0	6242	10546	7157-7162,7326-7374,7481-7514,7953-8073,8194-8470,9057-9333,9578-9848,9978-10051
HLA-C	HIFI032693D.2	HIFI032693D#2	C	-	0	6246	10550	7160-7165,7329-7377,7484-7517,7956-8076,8197-8473,9060-9336,9582-9852,9982-10055
HLA-C	HIFI032698D.1	HIFI032698D#1	C	-	0	6246	10550	7160-7165,7329-7377,7484-7517,7956-8076,8197-8473,9060-9336,9582-9852,9982-10055
HLA-C	HIFI032698D.2	HIFI032698D#2	C	-	0	6242	10546	7157-7162,7326-7374,7481-7514,7953-8073,8194-8470,9057-9333,9578-9848,9978-10051
HLA-C	HIFI032706D.1	HIFI032706D#1	C	-	0	6242	10546	7157-7162,7326-7374,7481-7514,7953-8073,8194-8470,9057-9333,9578-9848,9978-10051
HLA-C	HIFI032706D.2	HIFI032706D#2	C	-	0	6248	10551	7161-7166,7330-7378,7485-7518,7957-8077,8198-8474,9061-9337,9583-9853,9983-10056
HLA-C	HIFI032711D.1	HIFI032711D#1	C	-	0	6234	10552	7149-7154,7318-7366,7473-7506,7946-8066,8190-8466,9053-9329,9579-9849,9979-10052
HLA-C	HIFI032711D.2	HIFI032711D#2	C	-	0	6565	10868	7478-7483,7647-7695,7802-7835,8274-8394,8515-8791,9378-9654,9900-10170,10300-10373
HLA-C	HIFI032731D.1	HIFI032731D#1	C	-	0	6235	10530	7140-7145,7309-7357,7464-7497,7936-8056,8177-8453,9040-9316,9562-9832,9962-10035
HLA-C	HIFI032731D.2	HIFI032731D#2	C	-	0	6565	10868	7478-7483,7647-7695,7802-7835,8274-8394,8515-8791,9378-9654,9900-10170,10300-10373
HLA-C	RY01.1	RY01#1	C	-	0	6242	10546	7157-7162,7326-7374,7481-7514,7953-8073,8194-8470,9057-9333,9578-9848,9978-10051
HLA-C	RY01.2	RY01#2	C	-	0	6226	10530	7140-7145,7309-7357,7464-7497,7936-8056,8177-8453,9040-9316,9562-9832,9962-10035
HLA-C	RY02.1	RY02#1	C	-	0	6226	10530	7140-7145,7309-7357,7464-7497,7936-8056,8177-8453,9040-9316,9562-9832,9962-10035
HLA-C	RY02.2	RY02#2	C	-	0	6237	10540	7150-7155,7319-7367,7474-7507,7946-8066,8187-8463,9050-9326,9572-9842,9972-10045
HLA-C	RY03.1	RY03#1	C	-	0	6248	10551	7161-7166,7330-7378,7485-7518,7957-8077,8198-8474,9061-9337,9583-9853,9983-10056
HLA-C	RY03.2	RY03#2	C	-	0	6242	10546	7157-7162,7326-7374,7481-7514,7953-8073,8194-8470,9057-9333,9578-9848,9978-10051
HLA-C	RY04.1	RY04#1	C	-	0	6248	10552	7162-7167,7331-7379,7486-7519,7958-8078,8199-8475,9062-9338,9584-9854,9984-10057
HLA-C	RY04.2	RY04#2	C	-	0	6226	10530	7140-7145,7309-7357,7464-7497,7936-8056,8177-8453,9040-9316,9562-9832,9962-10035
HLA-C	RY05.1	RY05#1	C	-	0	6242	10546	7157-7162,7326-7374,7481-7514,7953-8073,8194-8470,9057-9333,9578-9848,9978-10051
HLA-C	RY05.2	RY05#2	C	-	0	6234	10552	7149-7154,7318-7366,7473-7506,7946-8066,8190-8466,9053-9329,9579-9849,9979-10052
HLA-C	RY06.1	RY06#1	C	-	0	6234	10552	7149-7154,7318-7366,7473-7506,7946-8066,8190-8466,9053-9329,9579-9849,9979-10052
HLA-C	RY06.2	RY06#2	C	-	0	6234	10552	7149-7154,7318-7366,7473-7506,7946-8066,8190-8466,9053-9329,9579-9849,9979-10052
HLA-C	RY07.1	RY07#1	C	-	0	6242	10546	7157-7162,7326-7374,7481-7514,7953-8073,8194-8470,9057-9333,9578-9848,9978-10051
HLA-C	RY07.2	RY07#2	C	-	0	6226	10529	7139-7144,7308-7356,7463-7496,7935-8055,8176-8452,9039-9315,9561-9831,9961-10034
HLA-C	RY08.1	RY08#1	C	-	0	6242	10546	7157-7162,7326-7374,7481-7514,7953-8073,8194-8470,9057-9333,9578-9848,9978-10051
HLA-C	RY08.2	RY08#2	C	-	0	6226	10530	7140-7145,7309-7357,7464-7497,7936-8056,8177-8453,9040-9316,9562-9832,9962-10035
HLA-C	RY09.1	RY09#1	C	-	0	6274	10552	7149-7154,7318-7366,7473-7506,7946-8066,8190-8466,9053-9329,9579-9849,9979-10052
HLA-C	RY09.2	RY09#2	C	-	0	6248	10551	7161-7166,7330-7378,7485-7518,7957-8077,8198-8474,9061-9337,9583-9853,9983-10056
HLA-C	RY10.1	RY10#1	C	-	0	6237	10540	7150-7155,7319-7367,7474-7507,7946-8066,8187-8463,9050-9326,9572-9842,9972-10045
HLA-C	RY10.2	RY10#2	C	-	0	6242	10546	7157-7162,7326-7374,7481-7514,7953-8073,8194-8470,9057-9333,9578-9848,9978-10051
HLA-C	RY11.1	RY11#1	C	-	0	6242	10546	7157-7162,7326-7374,7481-7514,7953-8073,8194-8470,9057-9333,9578-9848,9978-10051
HLA-C	RY11.2	RY11#2	C	-	0	6248	10552	7162-7167,7331-7379,7486-7519,7958-8078,8199-8475,9062-9338,9584-9854,9984-10057
HLA-C	HG00408.1	HG00408#1	C	-	0	6565	10868	7478-7483,7647-7695,7802-7835,8274-8394,8515-8791,9378-9654,9900-10170,10300-10373
HLA-C	HG00408.2	HG00408#2	C	-	0	6242	10546	7157-7162,7326-7374,7481-7514,7953-8073,8194-8470,9057-9333,9578-9848,9978-10051
HLA-C	HG00423.1	HG00423#1	C	-	0	6226	10530	7140-7145,7309-7357,7464-7497,7936-8056,8177-8453,9040-9316,9562-9832,9962-10035
HLA-C	HG00423.2	HG00423#2	C	-	0	6246	10550	7160-7165,7329-7377,7484-7517,7956-8076,8197-8473,9060-9336,9582-9852,9982-10055
HLA-C	HG00438.1	HG00438#1	C	-	0	6242	10546	7156-7161,7325-7373,7480-7513,7952-8072,8193-8469,9056-9332,9578-9848,9978-10051
HLA-C	HG00438.2	HG00438#2	C	-	0	6248	10552	7162-7167,7331-7379,7486-7519,7958-8078,8199-8475,9062-9338,9584-9854,9984-10057
HLA-C	HG005.1	HG005#1	C	-	0	6246	10550	7160-7165,7329-7377,7484-7517,7956-8076,8197-8473,9060-9336,9582-9852,9982-10055
HLA-C	HG005.2	HG005#2	C	-	0	6574	10877	7487-7492,7656-7704,7811-7844,8283-8403,8524-8800,9387-9663,9909-10179,10309-10382
HLA-C	HG00544.1	HG00544#1	C	-	0	6226	10530	7140-7145,7309-7357,7464-7497,7936-8056,8177-8453,9040-9316,9562-9832,9962-10035
HLA-C	HG00544.2	HG00544#2	C	-	0	6226	10530	7140-7145,7309-7357,7464-7497,7936-8056,8177-8453,9040-9316,9562-9832,9962-10035
HLA-C	HG00558.1	HG00558#1	C	-	0	6234	10552	7149-7154,7318-7366,7473-7506,7946-8066,8190-8466,9053-9329,9579-9849,9979-10052
HLA-C	HG00558.2	HG00558#2	C	-	0	6248	10551	7161-7166,7330-7378,7485-7518,7957-8077,8198-8474,9061-9337,9583-9853,9983-10056
HLA-C	HG00597.1	HG00597#1	C	-	0	6565	10868	7478-7483,7647-7695,7802-7835,8274-8394,8515-8791,9378-9654,9900-10170,10300-10373
HLA-C	HG00597.2	HG00597#2	C	-	0	6242	10546	7157-7162,7326-7374,7481-7514,7953-8073,8194-8470,9057-9333,9578-9848,9978-10051
HLA-C	HG00609.1	HG00609#1	C	-	0	6242	10546	7157-7162,7326-7374,7481-7514,7953-8073,8194-8470,9057-9333,9578-9848,9978-10051
HLA-C	HG00609.2	HG00609#2	C	-	0	6234	10552	7149-7154,7318-7366,7473-7506,7946-8066,8190-8466,9053-9329,9579-9849,9979-10052
HLA-C	HG00621.1	HG00621#1	C	-	0	6234	10552	7149-7154,7318-7366,7473-7506,7946-8066,8190-8466,9053-9329,9579-9849,9979-10052
HLA-C	HG00621.2	HG00621#2	C	-	0	6969	10176	7139-7144,7308-7356,7463-7496,7935-8055,8176-8452,9039-9315,9561-9831,9961-10034
HLA-C	HG00658.1	HG00658#1	C	-	0	6234	10552	7149-7154,7318-7366,7473-7506,7946-8066,8190-8466,9053-9329,9579-9849,9979-10052
HLA-C	HG00658.2	HG00658#2	C	-	0	6248	10552	7162-7167,7331-7379,7486-7519,7958-8078,8199-8475,9062-9338,9584-9854,9984-10057
HLA-C	HG00673.1	HG00673#1	C	-	0	6569	10872	7482-7487,7651-7699,7806-7839,8278-8398,8519-8795,9382-9658,9904-10174,10304-10377
HLA-C	HG00673.2	HG00673#2	C	-	0	6234	10552	7149-7154,7318-7366,7473-7506,7946-8066,8190-8466,9053-9329,9579-9849,9979-10052
HLA-C	HG00706.1	HG00706#1	C	-	0	6242	10546	7157-7162,7326-7374,7481-7514,7953-8073,8194-8470,9057-9333,9578-9848,9978-10051
HLA-C	HG00706.2	HG00706#2	C	-	0	6587	10869	7479-7484,7648-7696,7803-7836,8275-8395,8516-8792,9379-9655,9901-10171,10301-10374
HLA-C	HG02015.1	HG02015#1	C	-	0	6248	10551	7161-7166,7330-7378,7485-7518,7957-8077,8198-8474,9061-9337,9583-9853,9983-10056
HLA-C	HG02015.2	HG02015#2	C	-	0	6242	10546	7157-7162,7326-7374,7481-7514,7953-8073,8194-8470,9057-9333,9578-9848,9978-10051
HLA-C	HG02027.1	HG02027#1	C	-	0	6569	10872	7482-7487,7651-7699,7806-7839,8278-8398,8519-8795,9382-9658,9904-10174,10304-10377
HLA-C	HG02027.2	HG02027#2	C	-	0	6246	10550	7160-7165,7329-7377,7484-7517,7956-8076,8197-8473,9060-9336,9582-9852,9982-10055
HLA-C	HG02040.1	HG02040#1	C	-	0	6266	10529	7139-7144,7308-7356,7463-7496,7935-8055,8176-8452,9039-9315,9561-9831,9961-10034
HLA-C	HG02040.2	HG02040#2	C	-	0	6226	10530	7140-7145,7309-7357,7464-7497,7936-8056,8177-8453,9040-9316,9562-9832,9962-10035
HLA-C	HG02056.1	HG02056#1	C	-	0	6242	10546	7157-7162,7326-7374,7481-7514,7953-8073,8194-8470,9057-9333,9578-9848,9978-10051
HLA-C	HG02056.2	HG02056#2	C	-	0	6242	10546	7157-7162,7326-7374,7481-7514,7953-8073,8194-8470,9057-9333,9578-9848,9978-10051
HLA-C	HG02071.1	HG02071#1	C	-	0	6242	10546	7157-7162,7326-7374,7481-7514,7953-8073,8194-8470,9057-9333,9578-9848,9978-10051
HLA-C	HG02071.2	HG02071#2	C	-	0	6246	10550	7160-7165,7329-7377,7484-7517,7956-8076,8197-8473,9060-9336,9582-9852,9982-10055
HLA-C	HG02074.1	HG02074#1	C	-	0	6226	10530	7140-7145,7309-7357,7464-7497,7936-8056,8177-8453,9040-9316,9562-9832,9962-10035
HLA-C	HG02074.2	HG02074#2	C	-	0	6242	10546	7157-7162,7326-7374,7481-7514,7953-8073,8194-8470,9057-9333,9578-9848,9978-10051
HLA-C	HG02080.1	HG02080#1	C	-	0	6242	10546	7157-7162,7326-7374,7481-7514,7953-8073,8194-8470,9057-9333,9578-9848,9978-10051
HLA-C	HG02080.2	HG02080#2	C	-	0	6248	10551	7161-7166,7330-7378,7485-7518,7957-8077,8198-8474,9061-9337,9583-9853,9983-10056
HLA-C	HG02083.1	HG02083#1	C	-	0	6234	10552	7149-7154,7318-7366,7473-7506,7946-8066,8190-8466,9053-9329,9579-9849,9979-10052
HLA-C	HG02083.2	HG02083#2	C	-	0	6248	10551	7161-7166,7330-7378,7485-7518,7957-8077,8198-8474,9061-9337,9583-9853,9983-10056
HLA-C	HG02129.1	HG02129#1	C	-	0	6242	10546	7157-7162,7326-7374,7481-7514,7953-8073,8194-8470,9057-9333,9578-9848,9978-10051
HLA-C	HG02129.2	HG02129#2	C	-	0	6234	10552	7149-7154,7318-7366,7473-7506,7946-8066,8190-8466,9053-9329,9579-9849,9979-10052
HLA-C	HG02132.1	HG02132#1	C	-	0	6242	10546	7157-7162,7326-7374,7481-7514,7953-8073,8194-8470,9057-9333,9578-9848,9978-10051
HLA-C	HG02132.2	HG02132#2	C	-	0	6226	10530	7140-7145,7309-7357,7464-7497,7936-8056,8177-8453,9040-9316,9562-9832,9962-10035
HLA-C	HG02135.1	HG02135#1	C	-	0	6242	10546	7157-7162,7326-7374,7481-7514,7953-8073,8194-8470,9057-9333,9578-9848,9978-10051
HLA-C	HG02135.2	HG02135#2	C	-	0	6970	10329	7140-7145,7309-7357,7464-7497,7936-8056,8177-8453,9040-9316,9562-9832,9962-10035
HLA-C	HG02155.1	HG02155#1	C	-	0	6242	10546	7157-7162,7326-7374,7481-7514,7953-8073,8194-8470,9057-9333,9578-9848,9978-10051
HLA-C	HG02155.2	HG02155#2	C	-	0	6226	10529	7139-7144,7308-7356,7463-7496,7935-8055,8176-8452,9039-9315,9561-9831,9961-10034
HLA-C	HG02165.1	HG02165#1	C	-	0	6237	10540	7150-7155,7319-7367,7474-7507,7946-8066,8187-8463,9050-9326,9572-9842,9972-10045
HLA-C	HG02165.2	HG02165#2	C	-	0	6226	10530	7140-7145,7309-7357,7464-7497,7936-8056,8177-8453,9040-9316,9562-9832,9962-10035
HLA-C	HG02178.1	HG02178#1	C	-	0	6226	10530	7140-7145,7309-7357,7464-7497,7936-8056,8177-8453,9040-9316,9562-9832,9962-10035
HLA-C	HG02178.2	HG02178#2	C	-	0	6234	10552	7149-7154,7318-7366,7473-7506,7946-8066,8190-8466,9053-9329,9579-9849,9979-10052
HLA-C	HG02391.1	HG02391#1	C	-	0	6242	10546	7157-7162,7326-7374,7481-7514,7953-8073,8194-8470,9057-9333,9578-9848,9978-10051
HLA-C	HG02391.2	HG02391#2	C	-	0	6234	10552	7149-7154,7318-7366,7473-7506,7946-8066,8190-8466,9053-9329,9579-9849,9979-10052
HLA-C	HG02392.1	HG02392#1	C	-	0	6242	10546	7157-7162,7326-7374,7481-7514,7953-8073,8194-8470,9057-9333,9578-9848,9978-10051
HLA-C	HG02392.2	HG02392#2	C	-	0	6246	10550	7160-7165,7329-7377,7484-7517,7956-8076,8197-8473,9060-9336,9582-9852,9982-10055
HLA-C	HG02514.1	HG02514#1	C	-	0	6274	10552	7149-7154,7318-7366,7473-7506,7946-8066,8190-8466,9053-9329,9579-9849,9979-10052
HLA-C	HG02514.2	HG02514#2	C	-	0	6565	10868	7478-7483,7647-7695,7802-7835,8274-8394,8515-8791,9378-9654,9900-10170,10300-10373
HLA-C	HG02523.1	HG02523#1	C	-	0	6266	10529	7139-7144,7308-7356,7463-7496,7935-8055,8176-8452,9039-9315,9561-9831,9961-10034
HLA-C	HG02523.2	HG02523#2	C	-	0	6226	10530	7140-7145,7309-7357,7464-7497,7936-8056,8177-8453,9040-9316,9562-9832,9962-10035
HLA-C	NA18565.1	NA18565#1	C	-	0	6248	10552	7162-7167,7331-7379,7486-7519,7958-8078,8199-8475,9062-9338,9584-9854,9984-10057
HLA-C	NA18565.2	NA18565#2	C	-	0	6234	10552	7149-7154,7318-7366,7473-7506,7946-8066,8190-8466,9053-9329,9579-9849,9979-10052
HLA-C	NA18570.1	NA18570#1	C	-	0	6242	10546	7157-7162,7326-7374,7481-7514,7953-8073,8194-8470,9057-9333,9578-9848,9978-10051
HLA-C	NA18570.2	NA18570#2	C	-	0	6242	10546	7157-7162,7326-7374,7481-7514,7953-8073,8194-8470,9057-9333,9578-9848,9978-10051
HLA-C	NA18608.1	NA18608#1	C	-	0	6570	10873	7483-7488,7652-7700,7807-7840,8279-8399,8520-8796,9383-9659,9905-10175,10305-10378
HLA-C	NA18608.2	NA18608#2	C	-	0	6226	10529	7139-7144,7308-7356,7463-7496,7935-8055,8176-8452,9039-9315,9561-9831,9961-10034
HLA-C	NA18620.1	NA18620#1	C	-	0	6234	10552	7149-7154,7318-7366,7473-7506,7946-8066,8190-8466,9053-9329,9579-9849,9979-10052
HLA-C	NA18620.2	NA18620#2	C	-	0	6246	10412	7160-7165,7329-7377,7484-7517,7956-8085,8206-8482,9069-9345,9591-9861,9991-10064
HLA-C	NA18747.1	NA18747#1	C	-	0	6246	10550	7160-7165,7329-7377,7484-7517,7956-8076,8197-8473,9060-9336,9582-9852,9982-10055
HLA-C	NA18747.2	NA18747#2	C	-	0	6246	10550	7160-7165,7329-7377,7484-7517,7956-8076,8197-8473,9060-9336,9582-9852,9982-10055
HLA-C	NA18940.1	NA18940#1	C	-	0	6237	10540	7150-7155,7319-7367,7474-7507,7946-8066,8187-8463,9050-9326,9572-9842,9972-10045
HLA-C	NA18940.2	NA18940#2	C	-	0	6558	10530	7140-7145,7309-7357,7464-7497,7936-8056,8177-8453,9040-9316,9562-9832,9962-10035
HLA-C	NA18943.1	NA18943#1	C	-	0	6226	10530	7140-7145,7309-7357,7464-7497,7936-8056,8177-8453,9040-9316,9562-9832,9962-10035
HLA-C	NA18943.2	NA18943#2	C	-	0	6242	10546	7157-7162,7326-7374,7481-7514,7953-8073,8194-8470,9057-9333,9578-9848,9978-10051
HLA-C	NA18944.1	NA18944#1	C	-	0	6248	10552	7162-7167,7331-7379,7486-7519,7958-8078,8199-8475,9062-9338,9584-9854,9984-10057
HLA-C	NA18944.2	NA18944#2	C	-	0	6242	10546	7157-7162,7326-7374,7481-7514,7953-8073,8194-8470,9057-9333,9578-9848,9978-10051
HLA-C	NA18945.1	NA18945#1	C	-	0	6248	10552	7162-7167,7331-7379,7486-7519,7958-8078,8199-8475,9062-9338,9584-9854,9984-10057
HLA-C	NA18945.2	NA18945#2	C	-	0	6234	10552	7149-7154,7318-7366,7473-7506,7946-8066,8190-8466,9053-9329,9579-9849,9979-10052
HLA-C	NA18948.1	NA18948#1	C	-	0	6248	10551	7161-7166,7330-7378,7485-7518,7957-8077,8198-8474,9061-9337,9583-9853,9983-10056
HLA-C	NA18948.2	NA18948#2	C	-	0	6234	10552	7149-7154,7318-7366,7473-7506,7946-8066,8190-8466,9053-9329,9579-9849,9979-10052
HLA-C	NA18952.1	NA18952#1	C	-	0	6234	10552	7149-7154,7318-7366,7473-7506,7946-8066,8190-8466,9053-9329,9579-9849,9979-10052
