donor	method	state	gene	fields	eligible	called	correct	allele_matches	stratum	family
HG03874	ipd_genome	complete	DPB1	4	1	1	1	2	SAS	HG03874
HG03874	ipd_genome	complete	DQA1	4	0	0	0	0	SAS	HG03874
HG03874	ipd_genome	complete	DQB1	4	1	1	1	2	SAS	HG03874
HG03874	ipd_genome	complete	DRB1	4	0	0	0	0	SAS	HG03874
HG03874	all	complete	A	2	1	1	1	2	SAS	HG03874
HG03874	all	complete	B	2	1	1	1	2	SAS	HG03874
HG03874	all	complete	C	2	1	1	1	2	SAS	HG03874
HG03874	all	complete	DPA1	2	1	1	1	2	SAS	HG03874
HG03874	all	complete	DPB1	2	1	1	1	2	SAS	HG03874
HG03874	all	complete	DQA1	2	1	1	1	2	SAS	HG03874
HG03874	all	complete	DQB1	2	1	1	1	2	SAS	HG03874
HG03874	all	complete	DRB1	2	1	1	1	2	SAS	HG03874
HG03874	all	complete	A	4	1	1	1	2	SAS	HG03874
HG03874	all	complete	B	4	1	1	1	2	SAS	HG03874
HG03874	all	complete	C	4	1	1	1	2	SAS	HG03874
HG03874	all	complete	DPA1	4	0	0	0	0	SAS	HG03874
HG03874	all	complete	DPB1	4	1	1	1	2	SAS	HG03874
HG03874	all	complete	DQA1	4	0	0	0	0	SAS	HG03874
HG03874	all	complete	DQB1	4	1	1	1	2	SAS	HG03874
HG03874	all	complete	DRB1	4	0	0	0	0	SAS	HG03874
HG03874	hprc/sampled	complete	A	2	1	1	1	2	SAS	HG03874
HG03874	hprc/sampled	complete	B	2	1	1	1	2	SAS	HG03874
HG03874	hprc/sampled	complete	C	2	1	1	1	2	SAS	HG03874
HG03874	hprc/sampled	complete	DPA1	2	1	1	1	2	SAS	HG03874
HG03874	hprc/sampled	complete	DPB1	2	1	1	1	2	SAS	HG03874
HG03874	hprc/sampled	complete	DQA1	2	1	1	1	2	SAS	HG03874
HG03874	hprc/sampled	complete	DQB1	2	1	1	1	2	SAS	HG03874
HG03874	hprc/sampled	complete	DRB1	2	1	1	1	2	SAS	HG03874
HG03874	hprc/sampled	complete	A	4	1	1	1	2	SAS	HG03874
HG03874	hprc/sampled	complete	B	4	1	1	1	2	SAS	HG03874
HG03874	hprc/sampled	complete	C	4	1	1	1	2	SAS	HG03874
HG03874	hprc/sampled	complete	DPA1	4	0	0	0	0	SAS	HG03874
HG03874	hprc/sampled	complete	DPB1	4	1	1	0	1	SAS	HG03874
HG03874	hprc/sampled	complete	DQA1	4	0	0	0	0	SAS	HG03874
HG03874	hprc/sampled	complete	DQB1	4	1	1	1	2	SAS	HG03874
HG03874	hprc/sampled	complete	DRB1	4	0	0	0	0	SAS	HG03874
HG03874	hprc/unsampled	complete	A	2	1	1	1	2	SAS	HG03874
HG03874	hprc/unsampled	complete	B	2	1	1	1	2	SAS	HG03874
HG03874	hprc/unsampled	complete	C	2	1	1	1	2	SAS	HG03874
HG03874	hprc/unsampled	complete	DPA1	2	1	1	1	2	SAS	HG03874
HG03874	hprc/unsampled	complete	DPB1	2	1	1	1	2	SAS	HG03874
HG03874	hprc/unsampled	complete	DQA1	2	1	1	1	2	SAS	HG03874
HG03874	hprc/unsampled	complete	DQB1	2	1	1	1	2	SAS	HG03874
HG03874	hprc/unsampled	complete	DRB1	2	1	1	1	2	SAS	HG03874
HG03874	hprc/unsampled	complete	A	4	1	1	1	2	SAS	HG03874
HG03874	hprc/unsampled	complete	B	4	1	1	1	2	SAS	HG03874
HG03874	hprc/unsampled	complete	C	4	1	1	1	2	SAS	HG03874
HG03874	hprc/unsampled	complete	DPA1	4	0	0	0	0	SAS	HG03874
HG03874	hprc/unsampled	complete	DPB1	4	1	1	0	1	SAS	HG03874
HG03874	hprc/unsampled	complete	DQA1	4	0	0	0	0	SAS	HG03874
HG03874	hprc/unsampled	complete	DQB1	4	1	1	1	2	SAS	HG03874
HG03874	hprc/unsampled	complete	DRB1	4	0	0	0	0	SAS	HG03874
HG03874	hprc_asian/sampled	complete	A	2	1	1	1	2	SAS	HG03874
HG03874	hprc_asian/sampled	complete	B	2	1	1	1	2	SAS	HG03874
HG03874	hprc_asian/sampled	complete	C	2	1	1	1	2	SAS	HG03874
HG03874	hprc_asian/sampled	complete	DPA1	2	1	1	1	2	SAS	HG03874
HG03874	hprc_asian/sampled	complete	DPB1	2	1	1	1	2	SAS	HG03874
HG03874	hprc_asian/sampled	complete	DQA1	2	1	1	1	2	SAS	HG03874
HG03874	hprc_asian/sampled	complete	DQB1	2	1	1	1	2	SAS	HG03874
HG03874	hprc_asian/sampled	complete	DRB1	2	1	1	1	2	SAS	HG03874
HG03874	hprc_asian/sampled	complete	A	4	1	1	1	2	SAS	HG03874
HG03874	hprc_asian/sampled	complete	B	4	1	1	1	2	SAS	HG03874
HG03874	hprc_asian/sampled	complete	C	4	1	1	1	2	SAS	HG03874
HG03874	hprc_asian/sampled	complete	DPA1	4	0	0	0	0	SAS	HG03874
HG03874	hprc_asian/sampled	complete	DPB1	4	1	1	1	2	SAS	HG03874
HG03874	hprc_asian/sampled	complete	DQA1	4	0	0	0	0	SAS	HG03874
HG03874	hprc_asian/sampled	complete	DQB1	4	1	1	1	2	SAS	HG03874
HG03874	hprc_asian/sampled	complete	DRB1	4	0	0	0	0	SAS	HG03874
HG03874	hprc_asian/unsampled	complete	A	2	1	1	1	2	SAS	HG03874
HG03874	hprc_asian/unsampled	complete	B	2	1	1	1	2	SAS	HG03874
HG03874	hprc_asian/unsampled	complete	C	2	1	1	1	2	SAS	HG03874
HG03874	hprc_asian/unsampled	complete	DPA1	2	1	1	1	2	SAS	HG03874
HG03874	hprc_asian/unsampled	complete	DPB1	2	1	1	0	1	SAS	HG03874
HG03874	hprc_asian/unsampled	complete	DQA1	2	1	1	1	2	SAS	HG03874
HG03874	hprc_asian/unsampled	complete	DQB1	2	1	1	1	2	SAS	HG03874
HG03874	hprc_asian/unsampled	complete	DRB1	2	1	1	1	2	SAS	HG03874
HG03874	hprc_asian/unsampled	complete	A	4	1	1	1	2	SAS	HG03874
HG03874	hprc_asian/unsampled	complete	B	4	1	1	1	2	SAS	HG03874
HG03874	hprc_asian/unsampled	complete	C	4	1	1	1	2	SAS	HG03874
HG03874	hprc_asian/unsampled	complete	DPA1	4	0	0	0	0	SAS	HG03874
HG03874	hprc_asian/unsampled	complete	DPB1	4	1	1	0	1	SAS	HG03874
HG03874	hprc_asian/unsampled	complete	DQA1	4	0	0	0	0	SAS	HG03874
HG03874	hprc_asian/unsampled	complete	DQB1	4	1	1	1	2	SAS	HG03874
HG03874	hprc_asian/unsampled	complete	DRB1	4	0	0	0	0	SAS	HG03874
HG01530	T1K	complete	A	2	1	1	1	2	EUR	IBS011
HG01530	T1K	complete	B	2	1	1	1	2	EUR	IBS011
HG01530	T1K	complete	C	2	1	1	1	2	EUR	IBS011
HG01530	T1K	complete	DPA1	2	1	1	1	2	EUR	IBS011
HG01530	T1K	complete	DPB1	2	1	1	1	2	EUR	IBS011
HG01530	T1K	complete	DQA1	2	1	1	1	2	EUR	IBS011
HG01530	T1K	complete	DQB1	2	1	1	1	2	EUR	IBS011
HG01530	T1K	complete	DRB1	2	1	1	1	2	EUR	IBS011
HG01530	T1K	complete	A	4	1	1	1	2	EUR	IBS011
HG01530	T1K	complete	B	4	0	0	0	0	EUR	IBS011
HG01530	T1K	complete	C	4	1	1	1	2	EUR	IBS011
HG01530	T1K	complete	DPA1	4	1	1	1	2	EUR	IBS011
HG01530	T1K	complete	DPB1	4	1	1	0	0	EUR	IBS011
HG01530	T1K	complete	DQA1	4	1	1	1	2	EUR	IBS011
HG01530	T1K	complete	DQB1	4	1	1	0	1	EUR	IBS011
HG01530	T1K	complete	DRB1	4	1	1	1	2	EUR	IBS011
HG01530	ipd_genome	complete	A	2	1	1	1	2	EUR	IBS011
HG01530	ipd_genome	complete	B	2	1	1	1	2	EUR	IBS011
HG01530	ipd_genome	complete	C	2	1	1	1	2	EUR	IBS011
HG01530	ipd_genome	complete	DPA1	2	1	1	1	2	EUR	IBS011
HG01530	ipd_genome	complete	DPB1	2	1	1	1	2	EUR	IBS011
HG01530	ipd_genome	complete	DQA1	2	1	1	1	2	EUR	IBS011
HG01530	ipd_genome	complete	DQB1	2	1	1	1	2	EUR	IBS011
HG01530	ipd_genome	complete	DRB1	2	1	1	1	2	EUR	IBS011
HG01530	ipd_genome	complete	A	4	1	1	1	2	EUR	IBS011
HG01530	ipd_genome	complete	B	4	0	0	0	0	EUR	IBS011
HG01530	ipd_genome	complete	C	4	1	1	1	2	EUR	IBS011
HG01530	ipd_genome	complete	DPA1	4	1	1	1	2	EUR	IBS011
HG01530	ipd_genome	complete	DPB1	4	1	1	1	2	EUR	IBS011
HG01530	ipd_genome	complete	DQA1	4	1	1	0	1	EUR	IBS011
HG01530	ipd_genome	complete	DQB1	4	1	1	1	2	EUR	IBS011
HG01530	ipd_genome	complete	DRB1	4	1	1	1	2	EUR	IBS011
HG01530	all	complete	A	2	1	1	1	2	EUR	IBS011
HG01530	all	complete	B	2	1	1	1	2	EUR	IBS011
HG01530	all	complete	C	2	1	1	1	2	EUR	IBS011
HG01530	all	complete	DPA1	2	1	1	1	2	EUR	IBS011
HG01530	all	complete	DPB1	2	1	1	1	2	EUR	IBS011
HG01530	all	complete	DQA1	2	1	1	1	2	EUR	IBS011
HG01530	all	complete	DQB1	2	1	1	1	2	EUR	IBS011
HG01530	all	complete	DRB1	2	1	1	1	2	EUR	IBS011
HG01530	all	complete	A	4	1	1	1	2	EUR	IBS011
HG01530	all	complete	B	4	0	0	0	0	EUR	IBS011
HG01530	all	complete	C	4	1	1	1	2	EUR	IBS011
HG01530	all	complete	DPA1	4	1	1	1	2	EUR	IBS011
HG01530	all	complete	DPB1	4	1	1	1	2	EUR	IBS011
HG01530	all	complete	DQA1	4	1	1	0	1	EUR	IBS011
HG01530	all	complete	DQB1	4	1	1	1	2	EUR	IBS011
HG01530	all	complete	DRB1	4	1	1	1	2	EUR	IBS011
HG01530	hprc/sampled	complete	A	2	1	1	1	2	EUR	IBS011
HG01530	hprc/sampled	complete	B	2	1	1	1	2	EUR	IBS011
HG01530	hprc/sampled	complete	C	2	1	1	1	2	EUR	IBS011
HG01530	hprc/sampled	complete	DPA1	2	1	1	1	2	EUR	IBS011
HG01530	hprc/sampled	complete	DPB1	2	1	1	1	2	EUR	IBS011
HG01530	hprc/sampled	complete	DQA1	2	1	1	1	2	EUR	IBS011
HG01530	hprc/sampled	complete	DQB1	2	1	1	1	2	EUR	IBS011
HG01530	hprc/sampled	complete	DRB1	2	1	1	1	2	EUR	IBS011
HG01530	hprc/sampled	complete	A	4	1	1	1	2	EUR	IBS011
HG01530	hprc/sampled	complete	B	4	0	0	0	0	EUR	IBS011
HG01530	hprc/sampled	complete	C	4	1	1	1	2	EUR	IBS011
HG01530	hprc/sampled	complete	DPA1	4	1	1	1	2	EUR	IBS011
HG01530	hprc/sampled	complete	DPB1	4	1	1	1	2	EUR	IBS011
HG01530	hprc/sampled	complete	DQA1	4	1	1	0	1	EUR	IBS011
HG01530	hprc/sampled	complete	DQB1	4	1	1	1	2	EUR	IBS011
HG01530	hprc/sampled	complete	DRB1	4	1	1	1	2	EUR	IBS011
HG01530	hprc/unsampled	complete	A	2	1	1	1	2	EUR	IBS011
HG01530	hprc/unsampled	complete	B	2	1	1	1	2	EUR	IBS011
HG01530	hprc/unsampled	complete	C	2	1	1	1	2	EUR	IBS011
HG01530	hprc/unsampled	complete	DPA1	2	1	1	1	2	EUR	IBS011
HG01530	hprc/unsampled	complete	DPB1	2	1	1	1	2	EUR	IBS011
HG01530	hprc/unsampled	complete	DQA1	2	1	1	1	2	EUR	IBS011
HG01530	hprc/unsampled	complete	DQB1	2	1	1	1	2	EUR	IBS011
HG01530	hprc/unsampled	complete	DRB1	2	1	1	1	2	EUR	IBS011
HG01530	hprc/unsampled	complete	A	4	1	1	1	2	EUR	IBS011
HG01530	hprc/unsampled	complete	B	4	0	0	0	0	EUR	IBS011
HG01530	hprc/unsampled	complete	C	4	1	1	1	2	EUR	IBS011
HG01530	hprc/unsampled	complete	DPA1	4	1	1	1	2	EUR	IBS011
HG01530	hprc/unsampled	complete	DPB1	4	1	1	1	2	EUR	IBS011
HG01530	hprc/unsampled	complete	DQA1	4	1	1	0	1	EUR	IBS011
HG01530	hprc/unsampled	complete	DQB1	4	1	1	1	2	EUR	IBS011
HG01530	hprc/unsampled	complete	DRB1	4	1	1	1	2	EUR	IBS011
HG01530	hprc_asian/sampled	complete	A	2	1	1	1	2	EUR	IBS011
HG01530	hprc_asian/sampled	complete	B	2	1	1	1	2	EUR	IBS011
HG01530	hprc_asian/sampled	complete	C	2	1	1	1	2	EUR	IBS011
HG01530	hprc_asian/sampled	complete	DPA1	2	1	1	1	2	EUR	IBS011
HG01530	hprc_asian/sampled	complete	DPB1	2	1	1	1	2	EUR	IBS011
HG01530	hprc_asian/sampled	complete	DQA1	2	1	1	1	2	EUR	IBS011
HG01530	hprc_asian/sampled	complete	DQB1	2	1	1	1	2	EUR	IBS011
HG01530	hprc_asian/sampled	complete	DRB1	2	1	1	1	2	EUR	IBS011
HG01530	hprc_asian/sampled	complete	A	4	1	1	1	2	EUR	IBS011
HG01530	hprc_asian/sampled	complete	B	4	0	0	0	0	EUR	IBS011
HG01530	hprc_asian/sampled	complete	C	4	1	1	1	2	EUR	IBS011
HG01530	hprc_asian/sampled	complete	DPA1	4	1	1	1	2	EUR	IBS011
HG01530	hprc_asian/sampled	complete	DPB1	4	1	1	1	2	EUR	IBS011
HG01530	hprc_asian/sampled	complete	DQA1	4	1	1	0	1	EUR	IBS011
HG01530	hprc_asian/sampled	complete	DQB1	4	1	1	1	2	EUR	IBS011
HG01530	hprc_asian/sampled	complete	DRB1	4	1	1	1	2	EUR	IBS011
HG01530	hprc_asian/unsampled	complete	A	2	1	1	1	2	EUR	IBS011
HG01530	hprc_asian/unsampled	complete	B	2	1	1	1	2	EUR	IBS011
HG01530	hprc_asian/unsampled	complete	C	2	1	1	1	2	EUR	IBS011
HG01530	hprc_asian/unsampled	complete	DPA1	2	1	1	1	2	EUR	IBS011
HG01530	hprc_asian/unsampled	complete	DPB1	2	1	1	1	2	EUR	IBS011
HG01530	hprc_asian/unsampled	complete	DQA1	2	1	1	1	2	EUR	IBS011
HG01530	hprc_asian/unsampled	complete	DQB1	2	1	1	1	2	EUR	IBS011
HG01530	hprc_asian/unsampled	complete	DRB1	2	1	1	1	2	EUR	IBS011
HG01530	hprc_asian/unsampled	complete	A	4	1	1	1	2	EUR	IBS011
HG01530	hprc_asian/unsampled	complete	B	4	0	0	0	0	EUR	IBS011
HG01530	hprc_asian/unsampled	complete	C	4	1	1	1	2	EUR	IBS011
HG01530	hprc_asian/unsampled	complete	DPA1	4	1	1	1	2	EUR	IBS011
HG01530	hprc_asian/unsampled	complete	DPB1	4	1	1	1	2	EUR	IBS011
HG01530	hprc_asian/unsampled	complete	DQA1	4	1	1	0	1	EUR	IBS011
HG01530	hprc_asian/unsampled	complete	DQB1	4	1	1	1	2	EUR	IBS011
HG01530	hprc_asian/unsampled	complete	DRB1	4	1	1	1	2	EUR	IBS011
NA20806	T1K	complete	A	2	1	1	1	2	EUR	NA20806
NA20806	T1K	complete	B	2	1	1	1	2	EUR	NA20806
NA20806	T1K	complete	C	2	1	1	1	2	EUR	NA20806
NA20806	T1K	complete	DPA1	2	1	1	1	2	EUR	NA20806
NA20806	T1K	complete	DPB1	2	1	1	1	2	EUR	NA20806
NA20806	T1K	complete	DQA1	2	1	1	1	2	EUR	NA20806
NA20806	T1K	complete	DQB1	2	1	1	1	2	EUR	NA20806
NA20806	T1K	complete	DRB1	2	1	1	1	2	EUR	NA20806
NA20806	T1K	complete	A	4	1	1	1	2	EUR	NA20806
NA20806	T1K	complete	B	4	1	1	1	2	EUR	NA20806
NA20806	T1K	complete	C	4	1	1	0	1	EUR	NA20806
NA20806	T1K	complete	DPA1	4	1	1	0	1	EUR	NA20806
NA20806	T1K	complete	DPB1	4	1	1	0	1	EUR	NA20806
NA20806	T1K	complete	DQA1	4	1	1	1	2	EUR	NA20806
NA20806	T1K	complete	DQB1	4	1	1	1	2	EUR	NA20806
NA20806	T1K	complete	DRB1	4	1	1	0	0	EUR	NA20806
NA20806	ipd_genome	complete	A	2	1	1	1	2	EUR	NA20806
NA20806	ipd_genome	complete	B	2	1	1	1	2	EUR	NA20806
NA20806	ipd_genome	complete	C	2	1	1	1	2	EUR	NA20806
NA20806	ipd_genome	complete	DPA1	2	1	1	1	2	EUR	NA20806
NA20806	ipd_genome	complete	DPB1	2	1	1	1	2	EUR	NA20806
NA20806	ipd_genome	complete	DQA1	2	1	1	1	2	EUR	NA20806
NA20806	ipd_genome	complete	DQB1	2	1	1	1	2	EUR	NA20806
NA20806	ipd_genome	complete	DRB1	2	1	1	1	2	EUR	NA20806
NA20806	ipd_genome	complete	A	4	1	1	1	2	EUR	NA20806
NA20806	ipd_genome	complete	B	4	1	1	1	2	EUR	NA20806
NA20806	ipd_genome	complete	C	4	1	1	1	2	EUR	NA20806
NA20806	ipd_genome	complete	DPA1	4	1	1	1	2	EUR	NA20806
NA20806	ipd_genome	complete	DPB1	4	1	1	0	1	EUR	NA20806
NA20806	ipd_genome	complete	DQA1	4	1	1	1	2	EUR	NA20806
NA20806	ipd_genome	complete	DQB1	4	1	1	1	2	EUR	NA20806
NA20806	ipd_genome	complete	DRB1	4	1	1	0	0	EUR	NA20806
NA20806	all	complete	A	2	1	1	1	2	EUR	NA20806
NA20806	all	complete	B	2	1	1	1	2	EUR	NA20806
NA20806	all	complete	C	2	1	1	1	2	EUR	NA20806
NA20806	all	complete	DPA1	2	1	1	1	2	EUR	NA20806
NA20806	all	complete	DPB1	2	1	1	1	2	EUR	NA20806
NA20806	all	complete	DQA1	2	1	1	1	2	EUR	NA20806
NA20806	all	complete	DQB1	2	1	1	1	2	EUR	NA20806
NA20806	all	complete	DRB1	2	1	1	1	2	EUR	NA20806
NA20806	all	complete	A	4	1	1	1	2	EUR	NA20806
NA20806	all	complete	B	4	1	1	1	2	EUR	NA20806
NA20806	all	complete	C	4	1	1	1	2	EUR	NA20806
NA20806	all	complete	DPA1	4	1	1	1	2	EUR	NA20806
NA20806	all	complete	DPB1	4	1	1	0	1	EUR	NA20806
NA20806	all	complete	DQA1	4	1	1	1	2	EUR	NA20806
NA20806	all	complete	DQB1	4	1	1	1	2	EUR	NA20806
NA20806	all	complete	DRB1	4	1	1	0	0	EUR	NA20806
NA20806	hprc/sampled	complete	A	2	1	1	1	2	EUR	NA20806
NA20806	hprc/sampled	complete	B	2	1	1	1	2	EUR	NA20806
NA20806	hprc/sampled	complete	C	2	1	1	1	2	EUR	NA20806
NA20806	hprc/sampled	complete	DPA1	2	1	1	1	2	EUR	NA20806
NA20806	hprc/sampled	complete	DPB1	2	1	1	1	2	EUR	NA20806
NA20806	hprc/sampled	complete	DQA1	2	1	1	1	2	EUR	NA20806
NA20806	hprc/sampled	complete	DQB1	2	1	1	1	2	EUR	NA20806
NA20806	hprc/sampled	complete	DRB1	2	1	1	1	2	EUR	NA20806
NA20806	hprc/sampled	complete	A	4	1	1	1	2	EUR	NA20806
NA20806	hprc/sampled	complete	B	4	1	1	1	2	EUR	NA20806
NA20806	hprc/sampled	complete	C	4	1	1	1	2	EUR	NA20806
NA20806	hprc/sampled	complete	DPA1	4	1	1	1	2	EUR	NA20806
NA20806	hprc/sampled	complete	DPB1	4	1	1	0	1	EUR	NA20806
NA20806	hprc/sampled	complete	DQA1	4	1	1	1	2	EUR	NA20806
NA20806	hprc/sampled	complete	DQB1	4	1	1	1	2	EUR	NA20806
NA20806	hprc/sampled	complete	DRB1	4	1	1	0	0	EUR	NA20806
NA20806	hprc/unsampled	complete	A	2	1	1	1	2	EUR	NA20806
NA20806	hprc/unsampled	complete	B	2	1	1	1	2	EUR	NA20806
NA20806	hprc/unsampled	complete	C	2	1	1	1	2	EUR	NA20806
NA20806	hprc/unsampled	complete	DPA1	2	1	1	1	2	EUR	NA20806
NA20806	hprc/unsampled	complete	DPB1	2	1	1	1	2	EUR	NA20806
NA20806	hprc/unsampled	complete	DQA1	2	1	1	1	2	EUR	NA20806
NA20806	hprc/unsampled	complete	DQB1	2	1	1	1	2	EUR	NA20806
NA20806	hprc/unsampled	complete	DRB1	2	1	1	1	2	EUR	NA20806
NA20806	hprc/unsampled	complete	A	4	1	1	1	2	EUR	NA20806
NA20806	hprc/unsampled	complete	B	4	1	1	1	2	EUR	NA20806
NA20806	hprc/unsampled	complete	C	4	1	1	1	2	EUR	NA20806
NA20806	hprc/unsampled	complete	DPA1	4	1	1	1	2	EUR	NA20806
NA20806	hprc/unsampled	complete	DPB1	4	1	1	0	1	EUR	NA20806
NA20806	hprc/unsampled	complete	DQA1	4	1	1	1	2	EUR	NA20806
NA20806	hprc/unsampled	complete	DQB1	4	1	1	1	2	EUR	NA20806
NA20806	hprc/unsampled	complete	DRB1	4	1	1	0	0	EUR	NA20806
NA20806	hprc_asian/sampled	complete	A	2	1	1	1	2	EUR	NA20806
NA20806	hprc_asian/sampled	complete	B	2	1	1	1	2	EUR	NA20806
NA20806	hprc_asian/sampled	complete	C	2	1	1	1	2	EUR	NA20806
NA20806	hprc_asian/sampled	complete	DPA1	2	1	1	1	2	EUR	NA20806
NA20806	hprc_asian/sampled	complete	DPB1	2	1	1	1	2	EUR	NA20806
NA20806	hprc_asian/sampled	complete	DQA1	2	1	1	1	2	EUR	NA20806
NA20806	hprc_asian/sampled	complete	DQB1	2	1	1	1	2	EUR	NA20806
NA20806	hprc_asian/sampled	complete	DRB1	2	1	1	1	2	EUR	NA20806
NA20806	hprc_asian/sampled	complete	A	4	1	1	1	2	EUR	NA20806
NA20806	hprc_asian/sampled	complete	B	4	1	1	1	2	EUR	NA20806
NA20806	hprc_asian/sampled	complete	C	4	1	1	1	2	EUR	NA20806
NA20806	hprc_asian/sampled	complete	DPA1	4	1	1	1	2	EUR	NA20806
NA20806	hprc_asian/sampled	complete	DPB1	4	1	1	0	1	EUR	NA20806
NA20806	hprc_asian/sampled	complete	DQA1	4	1	1	1	2	EUR	NA20806
NA20806	hprc_asian/sampled	complete	DQB1	4	1	1	1	2	EUR	NA20806
NA20806	hprc_asian/sampled	complete	DRB1	4	1	1	0	0	EUR	NA20806
NA20806	hprc_asian/unsampled	complete	A	2	1	1	1	2	EUR	NA20806
NA20806	hprc_asian/unsampled	complete	B	2	1	1	1	2	EUR	NA20806
NA20806	hprc_asian/unsampled	complete	C	2	1	1	1	2	EUR	NA20806
NA20806	hprc_asian/unsampled	complete	DPA1	2	1	1	1	2	EUR	NA20806
NA20806	hprc_asian/unsampled	complete	DPB1	2	1	1	1	2	EUR	NA20806
NA20806	hprc_asian/unsampled	complete	DQA1	2	1	1	1	2	EUR	NA20806
NA20806	hprc_asian/unsampled	complete	DQB1	2	1	1	1	2	EUR	NA20806
NA20806	hprc_asian/unsampled	complete	DRB1	2	1	1	1	2	EUR	NA20806
NA20806	hprc_asian/unsampled	complete	A	4	1	1	1	2	EUR	NA20806
NA20806	hprc_asian/unsampled	complete	B	4	1	1	1	2	EUR	NA20806
NA20806	hprc_asian/unsampled	complete	C	4	1	1	1	2	EUR	NA20806
NA20806	hprc_asian/unsampled	complete	DPA1	4	1	1	1	2	EUR	NA20806
NA20806	hprc_asian/unsampled	complete	DPB1	4	1	1	0	1	EUR	NA20806
NA20806	hprc_asian/unsampled	complete	DQA1	4	1	1	1	2	EUR	NA20806
NA20806	hprc_asian/unsampled	complete	DQB1	4	1	1	1	2	EUR	NA20806
NA20806	hprc_asian/unsampled	complete	DRB1	4	1	1	0	0	EUR	NA20806
HG03516	T1K	complete	A	2	1	1	1	2	AFR	NG107
HG03516	T1K	complete	B	2	1	1	1	2	AFR	NG107
HG03516	T1K	complete	C	2	1	1	1	2	AFR	NG107
HG03516	T1K	complete	DPA1	2	0	0	0	0	AFR	NG107
HG03516	T1K	complete	DPB1	2	1	1	1	2	AFR	NG107
HG03516	T1K	complete	DQA1	2	1	1	1	2	AFR	NG107
HG03516	T1K	complete	DQB1	2	1	1	1	2	AFR	NG107
HG03516	T1K	complete	DRB1	2	1	1	1	2	AFR	NG107
HG03516	T1K	complete	A	4	1	1	1	2	AFR	NG107
HG03516	T1K	complete	B	4	0	0	0	0	AFR	NG107
HG03516	T1K	complete	C	4	1	1	0	1	AFR	NG107
HG03516	T1K	complete	DPA1	4	0	0	0	0	AFR	NG107
HG03516	T1K	complete	DPB1	4	1	1	1	2	AFR	NG107
HG03516	T1K	complete	DQA1	4	1	1	0	0	AFR	NG107
HG03516	T1K	complete	DQB1	4	1	1	0	0	AFR	NG107
HG03516	T1K	complete	DRB1	4	0	0	0	0	AFR	NG107
HG03516	ipd_genome	complete	A	2	1	1	1	2	AFR	NG107
HG03516	ipd_genome	complete	B	2	1	1	1	2	AFR	NG107
HG03516	ipd_genome	complete	C	2	1	1	1	2	AFR	NG107
HG03516	ipd_genome	complete	DPA1	2	0	0	0	0	AFR	NG107
HG03516	ipd_genome	complete	DPB1	2	1	1	1	2	AFR	NG107
HG03516	ipd_genome	complete	DQA1	2	1	1	1	2	AFR	NG107
HG03516	ipd_genome	complete	DQB1	2	1	1	1	2	AFR	NG107
HG03516	ipd_genome	complete	DRB1	2	1	1	1	2	AFR	NG107
HG03516	ipd_genome	complete	A	4	1	1	1	2	AFR	NG107
HG03516	ipd_genome	complete	B	4	0	0	0	0	AFR	NG107
HG03516	ipd_genome	complete	C	4	1	1	1	2	AFR	NG107
HG03516	ipd_genome	complete	DPA1	4	0	0	0	0	AFR	NG107
HG03516	ipd_genome	complete	DPB1	4	1	1	1	2	AFR	NG107
HG03516	ipd_genome	complete	DQA1	4	1	1	0	1	AFR	NG107
HG03516	ipd_genome	complete	DQB1	4	1	1	1	2	AFR	NG107
HG03516	ipd_genome	complete	DRB1	4	0	0	0	0	AFR	NG107
HG03516	all	complete	A	2	1	1	1	2	AFR	NG107
HG03516	all	complete	B	2	1	1	1	2	AFR	NG107
HG03516	all	complete	C	2	1	1	1	2	AFR	NG107
HG03516	all	complete	DPA1	2	0	0	0	0	AFR	NG107
HG03516	all	complete	DPB1	2	1	1	1	2	AFR	NG107
HG03516	all	complete	DQA1	2	1	1	1	2	AFR	NG107
HG03516	all	complete	DQB1	2	1	1	1	2	AFR	NG107
HG03516	all	complete	DRB1	2	1	1	1	2	AFR	NG107
HG03516	all	complete	A	4	1	1	1	2	AFR	NG107
HG03516	all	complete	B	4	0	0	0	0	AFR	NG107
HG03516	all	complete	C	4	1	1	1	2	AFR	NG107
HG03516	all	complete	DPA1	4	0	0	0	0	AFR	NG107
HG03516	all	complete	DPB1	4	1	1	1	2	AFR	NG107
HG03516	all	complete	DQA1	4	1	1	0	1	AFR	NG107
HG03516	all	complete	DQB1	4	1	1	1	2	AFR	NG107
HG03516	all	complete	DRB1	4	0	0	0	0	AFR	NG107
HG03516	hprc/sampled	complete	A	2	1	1	1	2	AFR	NG107
HG03516	hprc/sampled	complete	B	2	1	1	1	2	AFR	NG107
HG03516	hprc/sampled	complete	C	2	1	1	1	2	AFR	NG107
HG03516	hprc/sampled	complete	DPA1	2	0	0	0	0	AFR	NG107
HG03516	hprc/sampled	complete	DPB1	2	1	1	1	2	AFR	NG107
HG03516	hprc/sampled	complete	DQA1	2	1	1	1	2	AFR	NG107
HG03516	hprc/sampled	complete	DQB1	2	1	1	1	2	AFR	NG107
HG03516	hprc/sampled	complete	DRB1	2	1	1	1	2	AFR	NG107
HG03516	hprc/sampled	complete	A	4	1	1	1	2	AFR	NG107
HG03516	hprc/sampled	complete	B	4	0	0	0	0	AFR	NG107
HG03516	hprc/sampled	complete	C	4	1	1	1	2	AFR	NG107
